player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Drew Lock,LockDr00,passing,DEN,18,40,208,10,23.8,234,5.9,57,3.2,1.4,151,8.4,5,12.5%,12,30.0%,2,21,1,7,10,23.8%,0,NA,201912150kan
Patrick Mahomes,MahoPa00,passing,KAN,27,34,340,17,45.9,329,9.7,267,9.9,7.9,73,2.7,0,0.0%,2,5.9%,3,8,4,2,9,23.1%,2,6,201912150kan
