player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Devonta Freeman,FreeDe00,rushing,ATL,18,58,4,29,1.6,29,1.6,0,NA,201912290tam
Brian Hill,HillBr02,rushing,ATL,5,21,1,14,2.8,7,1.4,0,NA,201912290tam
Qadree Ollison,OlliQa00,rushing,ATL,4,9,1,4,1,5,1.3,0,NA,201912290tam
Matt Ryan,RyanMa00,rushing,ATL,2,0,0,0,0,0,0,0,NA,201912290tam
Keith Smith,SmitKe03,rushing,ATL,1,-1,NA,-1,-1,0,0,0,NA,201912290tam
Ronald Jones II,JoneRo01,rushing,TAM,11,106,4,66,6,40,3.6,0,NA,201912290tam
Peyton Barber,BarbPe01,rushing,TAM,6,10,0,4,0.7,6,1,0,NA,201912290tam
Jameis Winston,WinsJa00,rushing,TAM,2,5,0,5,2.5,0,0,0,NA,201912290tam
John Franklin,FranJo04,rushing,TAM,1,11,1,9,9,2,2,0,NA,201912290tam
Dare Ogunbowale,OgunDa00,rushing,TAM,1,4,NA,0,0,4,4,0,NA,201912290tam
