player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Lamar Jackson,JackLa00,passing,BAL,10,18,113,5,27.8,186,10.3,71,7.1,3.9,42,4.2,0,0.0%,5,27.8%,0,2,0,2,2,8.7%,5,9,202101030cin
Tyler Huntley,HuntTy01,passing,BAL,1,1,8,NA,NA,5,5,5,5,5,3,3,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,NA,202101030cin
Brandon Allen,AlleBr00,passing,CIN,6,21,48,1,4.8,155,7.4,15,2.5,0.7,33,5.5,1,5.0%,7,35.0%,0,10,1,2,3,14.3%,0,NA,202101030cin
