player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Sony Michel,MichSo00,rushing,NWE,21,83,7,61,2.9,22,1,0,NA,201909150mia
Rex Burkhead,BurkRe00,rushing,NWE,5,21,1,14,2.8,7,1.4,1,5,201909150mia
James White,WhitJa02,rushing,NWE,3,10,0,10,3.3,0,0,0,NA,201909150mia
Tom Brady,BradTo00,rushing,NWE,2,1,1,1,0.5,0,0,0,NA,201909150mia
James Develin,DeveJa00,rushing,NWE,2,3,1,3,1.5,0,0,0,NA,201909150mia
Antonio Brown,BrowAn04,rushing,NWE,1,5,1,5,5,0,0,0,NA,201909150mia
Julian Edelman,EdelJu00,rushing,NWE,1,1,0,1,1,0,0,0,NA,201909150mia
Kenyan Drake,DrakKe00,rushing,MIA,6,19,0,16,2.7,3,0.5,0,NA,201909150mia
Kalen Ballage,BallKa00,rushing,MIA,4,6,1,6,1.5,0,0,1,4,201909150mia
Mark Walton,WaltMa00,rushing,MIA,3,15,1,11,3.7,4,1.3,0,NA,201909150mia
Ryan Fitzpatrick,FitzRy00,rushing,MIA,1,6,1,6,6,0,0,0,NA,201909150mia
Jakeem Grant,GranJa00,rushing,MIA,1,-4,0,-4,-4,0,0,0,NA,201909150mia
