player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Baker Mayfield,MayfBa00,passing,CLE,23,37,204,11,28.9,188,5.1,113,4.9,3.1,91,4,3,8.8%,5,14.7%,1,20,2,2,5,13.2%,0,NA,202101170kan
Patrick Mahomes,MahoPa00,passing,KAN,21,30,255,12,40,182,6.1,115,5.5,3.8,140,6.7,1,3.4%,6,20.7%,0,3,0,2,2,6.5%,1,13,202101170kan
Chad Henne,HennCh01,passing,KAN,6,8,66,4,44.4,79,9.9,36,6,4.5,30,5,0,0.0%,1,12.5%,1,5,0,0,1,10.0%,1,13,202101170kan
