player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,prss_percent,scramble_attempts,yards_per_scramble,pfr_game_id
Derek Carr,CarrDe02,passing,LVR,13,23,165,6,25,281,12.2,109,8.4,4.7,56,4.3,1,4.3%,3,13.0%,1,6,1,3,5,19.2%,2,7,202011080sdg
Justin Herbert,HerbJu00,passing,LAC,28,42,326,18,40.9,309,7.4,195,7,4.6,131,4.7,1,2.4%,7,17.1%,2,5,5,5,12,25.5%,3,3.3,202011080sdg
