player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,prss_percent,scramble_attempts,yards_per_scramble,pfr_game_id
Patrick Mahomes,MahoPa00,passing,KAN,36,50,446,20,38.5,418,8.4,198,5.5,4,248,6.9,3,6.1%,5,10.2%,2,11,7,2,11,21.2%,0,NA,201911100oti
Dustin Colquitt,ColqDu20,passing,KAN,0,1,0,NA,NA,4,4,0,NA,0,0,NA,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,NA,201911100oti
Ryan Tannehill,TannRy00,passing,TEN,13,19,181,7,30.4,251,13.2,130,10,6.8,51,3.9,0,0.0%,3,15.8%,4,6,2,3,9,36.0%,2,15,201911100oti
