player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,prss_percent,scramble_attempts,yards_per_scramble,pfr_game_id
Mitchell Trubisky,TrubMi00,passing,CHI,24,43,190,10,22.7,335,7.8,95,4,2.2,95,4,1,2.4%,8,19.5%,1,9,8,1,10,22.2%,1,4,201911170ram
Chase Daniel,DaniCh00,passing,CHI,1,4,9,NA,NA,15,3.8,9,9,2.3,0,0,1,25.0%,1,25.0%,2,0,2,0,4,66.7%,0,NA,201911170ram
Jared Goff,GoffJa00,passing,LAR,11,18,173,6,33.3,158,8.8,71,6.5,3.9,102,9.3,1,5.9%,3,17.6%,0,3,0,1,1,5.3%,1,5,201911170ram
