player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Baker Mayfield,MayfBa00,passing,CLE,20,30,342,12,38.7,175,5.8,93,4.7,3.1,249,12.5,1,3.3%,4,13.3%,1,13,1,0,2,6.3%,1,1,201909290rav
Odell Beckham Jr.,BeckOd00,passing,CLE,0,1,0,0,0,50,50,0,NA,0,0,NA,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,NA,201909290rav
Lamar Jackson,JackLa00,passing,BAL,24,34,247,12,31.6,268,7.9,137,5.7,4,110,4.6,2,6.1%,5,15.2%,4,13,4,1,9,23.1%,1,17,201909290rav
