player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Derek Carr,CarrDe02,passing,LVR,25,38,236,14,35,331,8.7,128,5.1,3.4,108,4.3,3,8.3%,4,11.1%,2,10,7,0,9,22.0%,1,6,202112200cle
Nick Mullens,MullNi00,passing,CLE,20,30,147,9,30,204,6.8,76,3.8,2.5,71,3.6,2,6.9%,2,6.9%,0,6,5,4,9,30.0%,0,NA,202112200cle
