player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Todd Gurley,GurlTo01,rushing,LAR,20,108,6,46,2.3,62,3.1,1,20,201809100rai
Cooper Kupp,KuppCo00,rushing,LAR,2,16,2,14,7,2,1,0,NA,201809100rai
Malcolm Brown,BrowMa03,rushing,LAR,1,5,0,2,2,3,3,0,NA,201809100rai
Brandin Cooks,CookBr00,rushing,LAR,1,6,0,4,4,2,2,0,NA,201809100rai
Jared Goff,GoffJa00,rushing,LAR,1,-1,0,-1,-1,0,0,0,NA,201809100rai
Robert Woods,WoodRo02,rushing,LAR,1,6,0,3,3,3,3,0,NA,201809100rai
Marshawn Lynch,LyncMa00,rushing,OAK,11,41,4,9,0.8,32,2.9,1,11,201809100rai
Jalen Richard,RichJa01,rushing,OAK,5,24,1,10,2,14,2.8,1,5,201809100rai
Doug Martin,MartDo00,rushing,OAK,4,20,2,11,2.8,9,2.3,0,NA,201809100rai
Derek Carr,CarrDe02,rushing,OAK,2,1,0,1,0.5,0,0,0,NA,201809100rai
Amari Cooper,CoopAm00,rushing,OAK,1,9,NA,-5,-5,14,14,1,1,201809100rai
