player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Mike Boone,BoonMi00,rushing,MIN,13,56,3,22,1.7,34,2.6,0,NA,201912150sdg
Dalvin Cook,CookDa01,rushing,MIN,9,27,1,6,0.7,21,2.3,1,9,201912150sdg
Ameer Abdullah,AbduAm00,rushing,MIN,5,25,1,14,2.8,11,2.2,0,NA,201912150sdg
Kirk Cousins,CousKi00,rushing,MIN,3,14,1,9,3,5,1.7,0,NA,201912150sdg
Sean Mannion,MannSe00,rushing,MIN,3,-3,NA,-3,-1,0,0,0,NA,201912150sdg
Stefon Diggs,DiggSt00,rushing,MIN,1,4,0,2,2,2,2,0,NA,201912150sdg
C.J. Ham,HamxC.00,rushing,MIN,1,5,0,-1,-1,6,6,1,1,201912150sdg
Olabisi Johnson,JohnOl00,rushing,MIN,1,6,0,4,4,2,2,0,NA,201912150sdg
Adam Thielen,ThieAd00,rushing,MIN,1,3,0,0,0,3,3,0,NA,201912150sdg
Austin Ekeler,EkelAu00,rushing,LAC,7,19,1,7,1,12,1.7,0,NA,201912150sdg
Melvin Gordon,GordMe00,rushing,LAC,7,28,1,15,2.1,13,1.9,0,NA,201912150sdg
Justin Jackson,JackJu01,rushing,LAC,5,15,1,0,0,15,3,1,5,201912150sdg
