player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Hunter Renfrow,RenfHu00,receiving,LVR,9,7,73,0,2,8,1.1,65,9.3,4.1,1,7,0,0,0,100.5,202011290atl
Nelson Agholor,AghoNe00,receiving,LVR,6,5,54,0,3,42,8.4,12,2.4,9,0,NA,0,0,0,104.2,202011290atl
Darren Waller,WallDa01,receiving,LVR,7,4,23,0,2,0,0,23,5.8,6.7,0,NA,0,0,0,63.4,202011290atl
Josh Jacobs,JacoJo01,receiving,LVR,3,3,17,0,1,-6,-2,23,7.7,-2,1,3,0,0,0,90.3,202011290atl
Henry Ruggs III,RuggHe00,receiving,LVR,5,3,56,0,2,50,16.7,6,2,19.6,0,NA,1,20,0,98.7,202011290atl
Devontae Booker,BookDe00,receiving,LVR,4,1,-1,0,NA,-4,-4,3,3,0,0,NA,0,0,1,0,202011290atl
Bryan Edwards,EdwaBr01,receiving,LVR,2,1,15,0,1,12,12,3,3,8.5,0,NA,0,0,0,75,202011290atl
Zay Jones,JoneZa00,receiving,LVR,1,1,3,0,NA,-3,-3,6,6,-3,0,NA,0,0,0,79.2,202011290atl
Calvin Ridley,RidlCa00,receiving,ATL,9,6,50,1,4,32,5.3,18,3,8.7,0,NA,0,0,0,117.8,202011290atl
Ito Smith,SmitIt00,receiving,ATL,5,4,10,0,0,-4,-1,14,3.5,-1.8,0,NA,0,0,0,79.2,202011290atl
Hayden Hurst,HursHa00,receiving,ATL,8,4,48,0,4,17,4.3,31,7.8,4.6,1,4,0,0,1,29.2,202011290atl
Russell Gage,GageRu00,receiving,ATL,5,3,34,0,2,14,4.7,20,6.7,8,1,3,0,0,0,80.4,202011290atl
Brandon Powell,PoweBr00,receiving,ATL,2,2,4,1,1,4,2,0,0,2,0,NA,0,0,0,118.7,202011290atl
Olamide Zaccheaus,ZaccOl01,receiving,ATL,3,1,11,0,1,7,7,4,4,16.3,0,NA,1,33.3,0,45.1,202011290atl
Jaeden Graham,GrahJa01,receiving,ATL,2,1,11,0,NA,3,3,8,8,4,0,NA,1,50,0,66.7,202011290atl
Christian Blake,BlakCh00,receiving,ATL,1,1,17,0,1,12,12,5,5,12,0,NA,0,0,0,118.7,202011290atl
Brian Hill,HillBr02,receiving,ATL,1,0,0,0,0,0,NA,0,NA,-1,0,NA,0,0,0,39.6,202011290atl
Keith Smith,SmitKe03,receiving,ATL,1,0,0,0,NA,0,NA,0,NA,2,0,NA,0,0,0,39.6,202011290atl
