player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Joe Mixon,MixoJo00,rushing,CIN,15,86,4,62,4.1,24,1.6,0,NA,201911170rai
Giovani Bernard,BernGi00,rushing,CIN,3,30,2,22,7.3,8,2.7,0,NA,201911170rai
Ryan Finley,FinlRy00,rushing,CIN,3,47,2,47,15.7,0,0,0,NA,201911170rai
Tyler Boyd,BoydTy00,rushing,CIN,1,10,1,10,10,0,0,0,NA,201911170rai
Josh Jacobs,JacoJo01,rushing,OAK,23,112,5,50,2.2,62,2.7,3,7.7,201911170rai
Derek Carr,CarrDe02,rushing,OAK,5,1,1,1,0.2,0,0,0,NA,201911170rai
Jalen Richard,RichJa01,rushing,OAK,2,0,NA,-1,-0.5,1,0.5,0,NA,201911170rai
DeAndre Washington,WashDe00,rushing,OAK,2,-1,NA,-1,-0.5,0,0,0,NA,201911170rai
Alec Ingold,IngoAl01,rushing,OAK,1,3,1,1,1,2,2,0,NA,201911170rai
Darren Waller,WallDa01,rushing,OAK,1,-2,0,-2,-2,0,0,0,NA,201911170rai
