player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Aaron Rodgers,RodgAa00,passing,GNB,23,34,283,15,44.1,233,6.9,116,5,3.4,167,7.3,2,5.9%,9,26.5%,0,11,1,1,2,5.9%,0,NA,202010250htx
Deshaun Watson,WatsDe00,passing,HOU,29,39,309,15,35.7,248,6.4,176,6.1,4.5,133,4.6,3,7.9%,3,7.9%,3,12,4,1,8,16.7%,6,6.5,202010250htx
