player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Peyton Barber,BarbPe01,rushing,TAM,11,31,1,26,2.4,5,0.5,1,11,201811040car
Ryan Fitzpatrick,FitzRy00,rushing,TAM,5,23,1,21,4.2,2,0.4,0,NA,201811040car
Jacquizz Rodgers,RodgJa00,rushing,TAM,2,14,1,4,2,10,5,1,2,201811040car
Shaun Wilson,WilsSh01,rushing,TAM,2,7,NA,5,2.5,2,1,0,NA,201811040car
Adam Humphries,HumpAd00,rushing,TAM,1,7,0,7,7,0,0,0,NA,201811040car
Christian McCaffrey,McCaCh01,rushing,CAR,17,79,3,31,1.8,48,2.8,2,8.5,201811040car
Cam Newton,NewtCa00,rushing,CAR,11,33,2,28,2.5,5,0.5,1,11,201811040car
C.J. Anderson,AndeC.00,rushing,CAR,1,1,NA,1,1,0,0,0,NA,201811040car
Alex Armah,ArmaAl00,rushing,CAR,1,1,1,1,1,0,0,0,NA,201811040car
D.J. Moore,MoorD.00,rushing,CAR,1,32,1,3,3,29,29,1,1,201811040car
Curtis Samuel,SamuCu00,rushing,CAR,1,33,1,23,23,10,10,1,1,201811040car
