player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
David Montgomery,MontDa01,rushing,CHI,23,95,5,61,2.7,34,1.5,2,11.5,202012270jax
Nick Foles,FoleNi00,rushing,CHI,2,-2,NA,-2,-1,0,0,0,NA,202012270jax
Ryan Nall,NallRy00,rushing,CHI,2,0,NA,0,0,0,0,0,NA,202012270jax
Artavis Pierce,PierAr00,rushing,CHI,2,26,2,12,6,14,7,1,2,202012270jax
Mitchell Trubisky,TrubMi00,rushing,CHI,2,10,1,10,5,0,0,0,NA,202012270jax
Cole Kmet,KmetCo00,rushing,CHI,1,-3,0,-3,-3,0,0,0,NA,202012270jax
Darnell Mooney,MoonDa00,rushing,CHI,1,2,0,2,2,0,0,0,NA,202012270jax
Dare Ogunbowale,OgunDa00,rushing,JAX,14,71,3,37,2.6,34,2.4,2,7,202012270jax
Devine Ozigbo,OzigDe01,rushing,JAX,1,1,NA,1,1,0,0,0,NA,202012270jax
Craig Reynolds,ReynCr00,rushing,JAX,1,4,NA,4,4,0,0,0,NA,202012270jax
