player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Baker Mayfield,MayfBa00,passing,CLE,16,38,185,8,17,263,6.9,114,7.1,3,71,4.4,5,13.5%,7,18.9%,9,9,5,2,16,33.3%,1,14,202201030pit
Ben Roethlisberger,RoetBe00,passing,PIT,24,46,123,10,20.8,283,6.2,40,1.7,0.9,83,3.5,2,4.3%,12,26.1%,2,14,7,3,12,25.0%,0,NA,202201030pit
