player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Ben Roethlisberger,RoetBe00,passing,PIT,26,40,232,11,26.2,294,7.4,121,4.7,3,111,4.3,1,2.6%,8,20.5%,2,10,2,3,7,16.7%,0,NA,202110030gnb
Aaron Rodgers,RodgAa00,passing,GNB,20,36,248,13,33.3,344,9.6,115,5.8,3.2,133,6.7,1,2.9%,10,28.6%,3,9,6,4,13,32.5%,1,4,202110030gnb
