player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Gardner Minshew II,MinsGa00,passing,JAX,26,44,374,18,39.1,404,9.2,193,7.4,4.4,181,7,0,0.0%,6,14.6%,2,5,4,1,7,13.7%,5,8.6,201910060car
Kyle Allen,AlleKy00,passing,CAR,17,30,181,10,30.3,176,5.9,69,4.1,2.3,112,6.6,2,7.1%,5,17.9%,3,14,1,2,6,17.6%,1,4,201910060car
Christian McCaffrey,McCaCh01,passing,CAR,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0.0%,0,0.0%,0,1,1,0,1,100.0%,0,NA,201910060car
