player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Antonio Gibson,GibsAn00,rushing,WAS,12,31,1,15,1.3,16,1.3,1,12,202109260buf
Taylor Heinicke,HeinTa00,rushing,WAS,8,21,1,21,2.6,0,0,0,NA,202109260buf
J.D. McKissic,McKiJ.00,rushing,WAS,3,23,1,14,4.7,9,3,0,NA,202109260buf
Dyami Brown,BrowDy00,rushing,WAS,1,-4,NA,-4,-4,0,0,0,NA,202109260buf
Cam Sims,SimsCa00,rushing,WAS,1,7,0,5,5,2,2,0,NA,202109260buf
Zack Moss,MossZa00,rushing,BUF,13,60,4,40,3.1,20,1.5,1,13,202109260buf
Devin Singletary,SingDe00,rushing,BUF,11,26,1,13,1.2,13,1.2,0,NA,202109260buf
Josh Allen,AlleJo02,rushing,BUF,4,9,1,5,1.3,4,1,1,4,202109260buf
Mitchell Trubisky,TrubMi00,rushing,BUF,4,19,1,19,4.8,0,0,0,NA,202109260buf
Isaiah McKenzie,McKeIs00,rushing,BUF,1,8,1,6,6,2,2,0,NA,202109260buf
