player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Sam Darnold,DarnSa00,passing,NYJ,17,29,168,7,22.6,182,6.3,46,2.7,1.6,122,7.2,1,3.8%,4,15.4%,2,3,4,5,11,30.6%,5,4,202009270clt
Philip Rivers,RivePh00,passing,IND,17,21,217,13,61.9,136,6.5,116,6.8,5.5,101,5.9,0,0.0%,1,4.8%,0,6,1,1,2,9.5%,0,NA,202009270clt
Jacoby Brissett,BrisJa00,passing,IND,2,4,17,1,25,7,1.8,-1,-0.5,-0.3,18,9,1,25.0%,0,0.0%,0,1,2,0,2,50.0%,0,NA,202009270clt
