player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Drew Brees,BreeDr00,passing,NOR,24,31,201,13,40.6,193,6.2,135,5.6,4.4,66,2.8,2,6.5%,4,12.9%,1,6,0,3,4,12.5%,0,NA,201812090tam
Jameis Winston,WinsJa00,passing,TAM,18,38,213,12,28.6,473,12.4,166,9.2,4.4,47,2.6,3,8.1%,9,24.3%,4,10,7,6,17,36.2%,5,9.4,201812090tam
