player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,prss_percent,scramble_attempts,yards_per_scramble,pfr_game_id
Ryan Fitzpatrick,FitzRy00,passing,MIA,23,35,282,13,37.1,335,9.6,186,8.1,5.3,96,4.2,2,5.9%,7,20.6%,0,11,2,5,7,18.4%,3,8.7,201910200buf
Josh Allen,AlleJo02,passing,BUF,16,26,202,10,35.7,272,10.5,109,6.8,4.2,93,5.8,2,8.0%,6,24.0%,2,12,1,2,5,16.7%,2,11,201910200buf
