player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Josh Johnson,JohnJo05,passing,NYJ,27,41,317,19,44.2,333,8.1,170,6.3,4.1,147,5.4,2,4.9%,9,22.0%,2,2,2,4,8,17.4%,3,6.3,202111040clt
Mike White,WhitMi01,passing,NYJ,7,11,95,6,54.5,101,9.2,71,10.1,6.5,24,3.4,1,9.1%,0,0.0%,0,0,1,2,3,27.3%,0,NA,202111040clt
Carson Wentz,WentCa00,passing,IND,22,30,272,17,54.8,269,9,113,5.1,3.8,159,7.2,0,0.0%,6,20.7%,1,8,0,2,3,9.1%,2,6,202111040clt
