player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Mike Davis,DaviMi01,rushing,CAR,16,89,3,21,1.3,68,4.3,5,3.2,202010110atl
Curtis Samuel,SamuCu00,rushing,CAR,4,28,1,8,2,20,5,1,4,202010110atl
Teddy Bridgewater,BridTe00,rushing,CAR,3,3,0,1,0.3,2,0.7,1,3,202010110atl
Trenton Cannon,CannTr00,rushing,CAR,2,-1,NA,-3,-1.5,2,1,0,NA,202010110atl
Robby Anderson,AndeRo04,rushing,CAR,1,3,0,1,1,2,2,0,NA,202010110atl
Alex Armah,ArmaAl00,rushing,CAR,1,2,1,0,0,2,2,0,NA,202010110atl
Todd Gurley,GurlTo01,rushing,ATL,14,121,6,34,2.4,87,6.2,3,4.7,202010110atl
Brian Hill,HillBr02,rushing,ATL,6,39,3,11,1.8,28,4.7,2,3,202010110atl
Ito Smith,SmitIt00,rushing,ATL,2,6,NA,3,1.5,3,1.5,0,NA,202010110atl
Matt Ryan,RyanMa00,rushing,ATL,1,-1,0,-1,-1,0,0,0,NA,202010110atl
Keith Smith,SmitKe03,rushing,ATL,1,1,1,0,0,1,1,0,NA,202010110atl
