player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
J.K. Dobbins,DobbJK00,rushing,BAL,13,160,4,70,5.4,90,6.9,0,NA,202101030cin
Gus Edwards,EdwaGu00,rushing,BAL,12,60,6,17,1.4,43,3.6,1,12,202101030cin
Lamar Jackson,JackLa00,rushing,BAL,11,97,6,93,8.5,4,0.4,0,NA,202101030cin
Mark Ingram,IngrMa01,rushing,BAL,9,39,1,18,2,21,2.3,0,NA,202101030cin
Tyler Huntley,HuntTy01,rushing,BAL,6,5,NA,5,0.8,0,0,0,NA,202101030cin
Justice Hill,HillJu00,rushing,BAL,2,21,1,16,8,5,2.5,0,NA,202101030cin
Devin Duvernay,DuveDe00,rushing,BAL,1,22,1,2,2,20,20,0,NA,202101030cin
Samaje Perine,PeriSa00,rushing,CIN,9,51,3,26,2.9,25,2.8,0,NA,202101030cin
Trayveon Williams,WillTr06,rushing,CIN,4,74,2,5,1.3,69,17.3,1,4,202101030cin
Giovani Bernard,BernGi00,rushing,CIN,3,7,NA,6,2,1,0.3,1,3,202101030cin
Brandon Allen,AlleBr00,rushing,CIN,1,2,1,2,2,0,0,0,NA,202101030cin
Tyler Boyd,BoydTy00,rushing,CIN,1,11,1,11,11,0,0,0,NA,202101030cin
Alex Erickson,EricAl01,rushing,CIN,1,2,NA,0,0,2,2,0,NA,202101030cin
