player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
LeSean McCoy,McCoLe01,rushing,KAN,11,39,1,17,1.5,22,2,0,NA,201912080nwe
Patrick Mahomes,MahoPa00,rushing,KAN,6,6,0,4,0.7,2,0.3,0,NA,201912080nwe
Spencer Ware,WareSp00,rushing,KAN,5,11,1,-1,-0.2,12,2.4,0,NA,201912080nwe
Darwin Thompson,ThomDa06,rushing,KAN,4,7,0,3,0.8,4,1,0,NA,201912080nwe
Tyreek Hill,HillTy00,rushing,KAN,2,8,0,-1,-0.5,9,4.5,0,NA,201912080nwe
Travis Kelce,KelcTr00,rushing,KAN,1,4,1,3,3,1,1,0,NA,201912080nwe
Rex Burkhead,BurkRe00,rushing,NWE,7,15,1,-1,-0.1,16,2.3,0,NA,201912080nwe
James White,WhitJa02,rushing,NWE,6,33,1,9,1.5,24,4,0,NA,201912080nwe
Sony Michel,MichSo00,rushing,NWE,5,8,1,2,0.4,6,1.2,0,NA,201912080nwe
Tom Brady,BradTo00,rushing,NWE,2,20,2,17,8.5,3,1.5,0,NA,201912080nwe
Brandon Bolden,BoldBr00,rushing,NWE,1,10,1,7,7,3,3,0,NA,201912080nwe
Julian Edelman,EdelJu00,rushing,NWE,1,8,0,5,5,3,3,0,NA,201912080nwe
