player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Alvin Kamara,KamaAl00,rushing,NOR,19,83,6,51,2.7,32,1.7,4,4.8,202010040det
Latavius Murray,MurrLa00,rushing,NOR,14,64,6,36,2.6,28,2,1,14,202010040det
Drew Brees,BreeDr00,rushing,NOR,3,-3,0,-3,-1,0,0,0,NA,202010040det
Taysom Hill,HillTa00,rushing,NOR,3,6,NA,3,1,3,1,0,NA,202010040det
Deonte Harris,HarrDe07,rushing,NOR,2,10,0,4,2,6,3,1,2,202010040det
Michael Burton,BurtMi00,rushing,NOR,1,4,1,3,3,1,1,0,NA,202010040det
Adrian Peterson,PeteAd01,rushing,DET,11,36,1,22,2,14,1.3,1,11,202010040det
D'Andre Swift,SwifDA00,rushing,DET,4,22,0,19,4.8,3,0.8,0,NA,202010040det
Kerryon Johnson,JohnKe06,rushing,DET,3,9,0,4,1.3,5,1.7,0,NA,202010040det
Matthew Stafford,StafMa00,rushing,DET,3,21,1,19,6.3,2,0.7,0,NA,202010040det
Jamal Agnew,AgneJa00,rushing,DET,1,2,1,1,1,1,1,0,NA,202010040det
