player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Todd Gurley,GurlTo01,rushing,LAR,12,73,2,50,4.2,23,1.9,0,NA,201911100pit
Malcolm Brown,BrowMa03,rushing,LAR,5,10,1,3,0.6,7,1.4,0,NA,201911100pit
Darrell Henderson,HendDa00,rushing,LAR,4,4,NA,4,1,0,0,0,NA,201911100pit
Blake Bortles,BortBl00,rushing,LAR,1,1,NA,1,1,0,0,0,NA,201911100pit
Jared Goff,GoffJa00,rushing,LAR,1,0,0,0,0,0,0,0,NA,201911100pit
Jaylen Samuels,SamuJa00,rushing,PIT,14,29,2,14,1,15,1.1,0,NA,201911100pit
Tony Brooks-James,BrooTo01,rushing,PIT,6,11,NA,-7,-1.2,18,3,2,3,201911100pit
Trey Edmunds,EdmuTr00,rushing,PIT,4,1,0,1,0.3,0,0,0,NA,201911100pit
Mason Rudolph,RudoMa00,rushing,PIT,2,-1,0,-1,-0.5,0,0,0,NA,201911100pit
Vance McDonald,McDoVa00,rushing,PIT,1,2,NA,0,0,2,2,0,NA,201911100pit
