player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,prss_percent,scramble_attempts,yards_per_scramble,pfr_game_id
Derek Carr,CarrDe02,passing,OAK,15,27,127,7,25,136,5,37,2.5,1.4,90,6,3,11.5%,3,11.5%,1,8,5,1,7,24.1%,1,11,201911240nyj
Mike Glennon,GlenMi00,passing,OAK,4,7,20,1,14.3,64,9.1,10,2.5,1.4,10,2.5,0,0.0%,2,28.6%,0,4,0,2,2,28.6%,0,NA,201911240nyj
Sam Darnold,DarnSa00,passing,NYJ,20,29,315,15,50,215,7.4,120,6,4.1,195,9.8,1,3.7%,4,14.8%,1,8,6,0,7,21.9%,2,6.5,201911240nyj
