player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,prss_percent,scramble_attempts,yards_per_scramble,pfr_game_id
Mitchell Trubisky,TrubMi00,passing,CHI,26,46,242,19,38.8,400,8.7,148,5.7,3.2,94,3.6,1,2.3%,10,22.7%,3,7,3,5,11,22.0%,1,11,202011290gnb
Aaron Rodgers,RodgAa00,passing,GNB,21,29,211,13,44.8,244,8.4,89,4.2,3.1,122,5.8,2,6.9%,3,10.3%,0,11,2,0,2,6.5%,2,6,202011290gnb
