player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Corey Clement,ClemCo00,rushing,DAL,13,44,2,23,1.8,21,1.6,0,NA,202112120was
Ezekiel Elliott,ElliEz00,rushing,DAL,12,45,2,23,1.9,22,1.8,0,NA,202112120was
Dak Prescott,PresDa01,rushing,DAL,7,15,2,15,2.1,0,0,0,NA,202112120was
CeeDee Lamb,LambCe00,rushing,DAL,2,15,1,13,6.5,2,1,0,NA,202112120was
JaQuan Hardy,HardJa01,rushing,DAL,1,3,NA,3,3,0,0,0,NA,202112120was
Antonio Gibson,GibsAn00,rushing,WAS,10,36,2,18,1.8,18,1.8,0,NA,202112120was
Jaret Patterson,PattJa01,rushing,WAS,4,29,2,15,3.8,14,3.5,0,NA,202112120was
Jonathan Williams,WillJo07,rushing,WAS,4,16,1,9,2.3,7,1.8,0,NA,202112120was
Taylor Heinicke,HeinTa00,rushing,WAS,3,8,0,8,2.7,0,0,0,NA,202112120was
Kyle Allen,AlleKy00,rushing,WAS,2,11,1,11,5.5,0,0,0,NA,202112120was
