player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,prss_percent,scramble_attempts,yards_per_scramble,pfr_game_id
Kyle Allen,AlleKy00,passing,CAR,23,36,256,15,37.5,244,6.8,112,4.9,3.1,144,6.3,3,9.4%,4,12.5%,4,17,8,0,12,29.3%,1,9,201911240nor
Drew Brees,BreeDr00,passing,NOR,30,39,311,17,41.5,374,9.6,187,6.2,4.8,124,4.1,0,0.0%,3,7.9%,2,10,0,2,4,9.8%,0,NA,201911240nor
