player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Elijah Mitchell,MitcEl00,rushing,SFO,17,42,3,37,2.2,5,0.3,0,NA,202109190phi
Jimmy Garoppolo,GaroJi00,rushing,SFO,11,20,5,20,1.8,0,0,0,NA,202109190phi
Jamycal Hasty,HastJa02,rushing,SFO,5,38,2,31,6.2,7,1.4,1,5,202109190phi
Deebo Samuel,SamuDe00,rushing,SFO,2,8,0,5,2.5,3,1.5,1,2,202109190phi
Trenton Cannon,CannTr00,rushing,SFO,1,-1,NA,-1,-1,0,0,0,NA,202109190phi
Kyle Juszczyk,JuszKy00,rushing,SFO,1,2,0,2,2,0,0,0,NA,202109190phi
Trey Sermon,SermTr00,rushing,SFO,1,8,NA,5,5,3,3,0,NA,202109190phi
Miles Sanders,SandMi01,rushing,PHI,13,55,3,41,3.2,14,1.1,9,1.4,202109190phi
Jalen Hurts,HurtJa00,rushing,PHI,10,82,5,81,8.1,1,0.1,1,10,202109190phi
Kenneth Gainwell,GainKe00,rushing,PHI,6,14,0,11,1.8,3,0.5,0,NA,202109190phi
