player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Myles Gaskin,GaskMy00,rushing,MIA,9,40,2,17,1.9,23,2.6,1,9,202009130nwe
Jordan Howard,HowaJo00,rushing,MIA,8,7,1,1,0.1,6,0.8,0,NA,202009130nwe
Matt Breida,BreiMa00,rushing,MIA,5,22,1,13,2.6,9,1.8,0,NA,202009130nwe
Ryan Fitzpatrick,FitzRy00,rushing,MIA,5,18,2,15,3,3,0.6,0,NA,202009130nwe
Cam Newton,NewtCa00,rushing,NWE,15,75,8,57,3.8,18,1.2,0,NA,202009130nwe
Sony Michel,MichSo00,rushing,NWE,10,37,4,13,1.3,24,2.4,0,NA,202009130nwe
Rex Burkhead,BurkRe00,rushing,NWE,7,32,2,23,3.3,9,1.3,0,NA,202009130nwe
James White,WhitJa02,rushing,NWE,5,22,1,13,2.6,9,1.8,0,NA,202009130nwe
J.J. Taylor,TaylJJ01,rushing,NWE,4,28,2,15,3.8,13,3.3,0,NA,202009130nwe
Julian Edelman,EdelJu00,rushing,NWE,1,23,1,23,23,0,0,0,NA,202009130nwe
