player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Aaron Jones,JoneAa00,rushing,GNB,12,56,4,27,2.3,29,2.4,1,12,202001190sfo
Jamaal Williams,WillJa06,rushing,GNB,3,6,NA,1,0.3,5,1.7,0,NA,202001190sfo
Aaron Rodgers,RodgAa00,rushing,GNB,1,0,0,0,0,0,0,0,NA,202001190sfo
Raheem Mostert,MostRa00,rushing,SFO,29,220,10,93,3.2,127,4.4,4,7.3,202001190sfo
Tevin Coleman,ColeTe01,rushing,SFO,6,21,NA,9,1.5,12,2,0,NA,202001190sfo
Jimmy Garoppolo,GaroJi00,rushing,SFO,4,-1,1,-3,-0.8,2,0.5,0,NA,202001190sfo
Deebo Samuel,SamuDe00,rushing,SFO,2,43,2,28,14,15,7.5,1,2,202001190sfo
Matt Breida,BreiMa00,rushing,SFO,1,2,NA,2,2,0,0,0,NA,202001190sfo
