player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Joe Burrow,BurrJo01,passing,CIN,15,22,157,5,20,127,5.8,71,4.7,3.2,86,5.7,0,0.0%,4,19.0%,3,3,3,2,8,27.6%,4,6.5,202112190den
Teddy Bridgewater,BridTe00,passing,DEN,12,22,98,4,16.7,149,6.8,25,2.1,1.1,73,6.1,2,10.0%,5,25.0%,2,7,2,1,5,20.0%,1,6,202112190den
Drew Lock,LockDr00,passing,DEN,6,12,88,4,30.8,143,11.9,48,8,4,40,6.7,1,8.3%,3,25.0%,1,5,0,1,2,15.4%,0,NA,202112190den
