player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Tom Brady,BradTo00,passing,TAM,41,55,432,24,41.4,382,6.9,194,4.7,3.5,238,5.8,2,3.7%,9,16.7%,3,13,7,1,11,18.3%,2,6.5,202109260ram
Matthew Stafford,StafMa00,passing,LAR,27,38,343,16,41,359,9.4,165,6.1,4.3,178,6.6,1,2.6%,7,18.4%,1,11,3,2,6,15.4%,0,NA,202109260ram
