player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Benny Snell Jr.,SnelBe00,rushing,PIT,12,22,1,9,0.8,13,1.1,0,NA,202201090rav
Najee Harris,HarrNa00,rushing,PIT,11,28,1,9,0.8,19,1.7,1,11,202201090rav
Chase Claypool,ClayCh01,rushing,PIT,3,33,3,30,10,3,1,0,NA,202201090rav
Ben Roethlisberger,RoetBe00,rushing,PIT,3,-4,0,-4,-1.3,0,0,0,NA,202201090rav
Kalen Ballage,BallKa00,rushing,PIT,1,0,NA,0,0,0,0,0,NA,202201090rav
Latavius Murray,MurrLa00,rushing,BAL,16,150,7,91,5.7,59,3.7,2,8,202201090rav
Tyler Huntley,HuntTy01,rushing,BAL,12,72,6,55,4.6,17,1.4,2,6,202201090rav
Devonta Freeman,FreeDe00,rushing,BAL,5,21,1,19,3.8,2,0.4,1,5,202201090rav
Mark Andrews,AndrMa00,rushing,BAL,1,0,0,0,0,0,0,0,NA,202201090rav
Devin Duvernay,DuveDe00,rushing,BAL,1,2,NA,2,2,0,0,0,NA,202201090rav
Ty'Son Williams,WillTy01,rushing,BAL,1,4,NA,3,3,1,1,0,NA,202201090rav
