player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Jalen Hurts,HurtJa00,passing,PHI,9,14,103,6,42.9,148,10.6,65,7.2,4.6,38,4.2,1,7.1%,3,21.4%,0,2,4,0,4,23.5%,3,15.3,202110310det
Gardner Minshew II,MinsGa00,passing,PHI,2,2,11,NA,NA,-10,-5,-10,-5,-5,21,10.5,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,NA,202110310det
Jared Goff,GoffJa00,passing,DET,25,34,222,11,28.2,199,5.9,105,4.2,3.1,117,4.7,2,6.3%,2,6.3%,5,10,10,5,20,51.3%,0,NA,202110310det
