player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Matthew Stafford,StafMa00,passing,DET,23,32,211,13,38.2,176,5.5,89,3.9,2.8,122,5.3,2,6.3%,5,15.6%,2,6,1,2,5,14.7%,0,NA,202011080min
Chase Daniel,DaniCh00,passing,DET,8,13,94,6,46.2,97,7.5,49,6.1,3.8,45,5.6,2,16.7%,2,16.7%,0,2,0,1,1,7.1%,1,5,202011080min
Kirk Cousins,CousKi00,passing,MIN,13,20,220,11,52.4,217,10.9,106,8.2,5.3,114,8.8,1,5.0%,3,15.0%,1,6,2,1,4,19.0%,0,NA,202011080min
