player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,completed_air_yards_per_cmp,completed_air_yards_per_att,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Sam Darnold,DarnSa00,passing,NYJ,23,34,266,14,37.8,241,7.1,109,4.7,3.2,157,6.8,0,0.0%,4,12.1%,3,11,3,3,9,24.3%,0,NA,202101030nwe
Cam Newton,NewtCa00,passing,NWE,21,30,242,14,42.4,182,6.1,114,5.4,3.8,128,6.1,1,3.4%,4,13.8%,3,15,2,3,8,24.2%,0,NA,202101030nwe
Jakobi Meyers,MeyeJa01,passing,NWE,1,1,19,1,100,13,13,13,13,13,6,6,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,NA,202101030nwe
