player_name,pfr_player_id,adv_stat_category,team,carries,rushing_yards,rushing_first_downs,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,att_br,pfr_game_id
Josh Jacobs,JacoJo01,rushing,OAK,10,34,NA,16,1.6,18,1.8,2,5,201911240nyj
DeAndre Washington,WashDe00,rushing,OAK,6,19,1,8,1.3,11,1.8,0,NA,201911240nyj
Mike Glennon,GlenMi00,rushing,OAK,2,0,0,0,0,0,0,0,NA,201911240nyj
Jalen Richard,RichJa01,rushing,OAK,2,4,0,1,0.5,3,1.5,0,NA,201911240nyj
Derek Carr,CarrDe02,rushing,OAK,1,11,1,10,10,1,1,0,NA,201911240nyj
Alec Ingold,IngoAl01,rushing,OAK,1,0,NA,0,0,0,0,0,NA,201911240nyj
Le'Veon Bell,BellLe00,rushing,NYJ,12,49,2,22,1.8,27,2.3,1,12,201911240nyj
Ty Montgomery,MontTy01,rushing,NYJ,5,2,0,-3,-0.6,5,1,0,NA,201911240nyj
Bilal Powell,PoweBi00,rushing,NYJ,5,15,1,7,1.4,8,1.6,0,NA,201911240nyj
Josh Adams,AdamJo03,rushing,NYJ,4,6,1,5,1.3,1,0.3,0,NA,201911240nyj
Sam Darnold,DarnSa00,rushing,NYJ,4,16,1,15,3.8,1,0.3,0,NA,201911240nyj
