player_name,pfr_player_id,adv_stat_category,team,completions,attempts,passing_yards,passing_first_downs,passing_first_downs_pct,intended_air_yards,intended_air_yards_per_att,completed_air_yards,cay_cmp,completed_air_yards_per_attempt,passing_yards_after_catch,passing_yards_after_catch_per_cmp,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,scramble_attempts,yards_per_scramble,pfr_game_id
Josh Rosen,RoseJo01,passing,ARI,10,25,170,5,19.2,277,11.1,96,9.6,3.8,74,7.4,3,13.6%,8,36.4%,1,7,4,3,8,30.8%,0,NA,201810070sfo
C.J. Beathard,BeatC.00,passing,SFO,34,54,349,22,37.9,260,4.8,104,3.1,1.9,245,7.2,4,7.8%,7,13.7%,4,22,0,4,8,13.6%,1,6,201810070sfo
