player,pfr_id,game_id,pfr_game_id,season,team,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
David Andrews,AndrDa00,2015_01_PIT_NE,201509100nwe,2015,NE,61,100,0,0,0,0
Tom Brady,BradTo00,2015_01_PIT_NE,201509100nwe,2015,NE,61,100,0,0,0,0
Rob Gronkowski,GronRo00,2015_01_PIT_NE,201509100nwe,2015,NE,60,98,0,0,1,4
Nate Solder,SoldNa00,2015_01_PIT_NE,201509100nwe,2015,NE,57,93,0,0,4,15
Josh Kline,KlinJo01,2015_01_PIT_NE,201509100nwe,2015,NE,54,89,0,0,3,12
Sebastian Vollmer,VollSe20,2015_01_PIT_NE,201509100nwe,2015,NE,52,85,0,0,4,15
Julian Edelman,EdelJu00,2015_01_PIT_NE,201509100nwe,2015,NE,48,79,0,0,2,8
Dion Lewis,LewiDi00,2015_01_PIT_NE,201509100nwe,2015,NE,46,75,0,0,4,15
Shaq Mason,MasoSh01,2015_01_PIT_NE,201509100nwe,2015,NE,36,59,0,0,4,15
Tre' Jackson,JackTr00,2015_01_PIT_NE,201509100nwe,2015,NE,35,57,0,0,4,15
Danny Amendola,AmenDa00,2015_01_PIT_NE,201509100nwe,2015,NE,34,56,0,0,3,12
Aaron Dobson,DobsAa00,2015_01_PIT_NE,201509100nwe,2015,NE,30,49,0,0,0,0
Scott Chandler,ChanSc00,2015_01_PIT_NE,201509100nwe,2015,NE,25,41,0,0,4,15
Michael Williams,WillMi06,2015_01_PIT_NE,201509100nwe,2015,NE,18,30,0,0,8,31
Brandon Bolden,BoldBr00,2015_01_PIT_NE,201509100nwe,2015,NE,14,23,0,0,17,65
Marcus Cannon,CannMa00,2015_01_PIT_NE,201509100nwe,2015,NE,13,21,0,0,4,15
Michael Hoomanawanui,HoomMi00,2015_01_PIT_NE,201509100nwe,2015,NE,13,21,0,0,2,8
Chris Harper,HarpCh01,2015_01_PIT_NE,201509100nwe,2015,NE,12,20,0,0,0,0
Matthew Slater,SlatMa00,2015_01_PIT_NE,201509100nwe,2015,NE,1,2,0,0,16,62
James White,WhitJa02,2015_01_PIT_NE,201509100nwe,2015,NE,1,2,0,0,0,0
Devin McCourty,McCoDe99,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,72,100,13,50
Jamie Collins,CollJa00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,72,100,6,23
Chandler Jones,JoneCh03,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,70,97,9,35
Rob Ninkovich,NinkRo20,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,68,94,6,23
Malcolm Butler,ButlMa01,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,68,94,5,19
Tarell Brown,BrowTa99,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,64,89,0,0
Dont'a Hightower,HighDo01,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,60,83,6,23
Duron Harmon,HarmDu00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,57,79,12,46
Jabaal Sheard,SheaJa00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,50,69,0,0
Patrick Chung,ChunPa99,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,49,68,17,65
Bradley Fletcher,FletBr99,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,49,68,0,0
Geneo Grissom,GrisGe00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,31,43,12,46
Malcom Brown,BrowMa01,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,25,35,5,19
Sealver Siliga,SiliSe00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,21,29,5,19
Alan Branch,BranAl99,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,11,15,5,19
Jerod Mayo,MayoJe99,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,10,14,6,23
Dominique Easley,EaslDo00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,7,10,0,0
Nate Ebner,EbneNa00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,4,6,17,65
Logan Ryan,RyanLo00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,4,6,7,27
Eric Martin,MartEr02,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,0,0,16,62
Jonathan Freeny,FreeJo01,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,0,0,16,62
Jordan Richards,RichJo00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,0,0,16,62
Stephen Gostkowski,GostSt20,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,0,0,9,35
Joe Cardona,CardJo00,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,0,0,9,35
Ryan Allen,AlleRy01,2015_01_PIT_NE,201509100nwe,2015,NE,0,0,0,0,9,35
Marcus Gilbert,GilbMa00,2015_01_PIT_NE,201509100nwe,2015,PIT,72,100,0,0,5,19
Kelvin Beachum,BeacKe00,2015_01_PIT_NE,201509100nwe,2015,PIT,72,100,0,0,5,19
Ramon Foster,FostRa21,2015_01_PIT_NE,201509100nwe,2015,PIT,72,100,0,0,5,19
David DeCastro,DeCaDa00,2015_01_PIT_NE,201509100nwe,2015,PIT,72,100,0,0,5,19
Heath Miller,MillHe00,2015_01_PIT_NE,201509100nwe,2015,PIT,72,100,0,0,0,0
Ben Roethlisberger,RoetBe00,2015_01_PIT_NE,201509100nwe,2015,PIT,72,100,0,0,0,0
Cody Wallace,WallCo20,2015_01_PIT_NE,201509100nwe,2015,PIT,72,100,0,0,0,0
Antonio Brown,BrowAn04,2015_01_PIT_NE,201509100nwe,2015,PIT,68,94,0,0,5,19
Markus Wheaton,WheaMa00,2015_01_PIT_NE,201509100nwe,2015,PIT,66,92,0,0,0,0
DeAngelo Williams,WillDe02,2015_01_PIT_NE,201509100nwe,2015,PIT,61,85,0,0,0,0
Darrius Heyward-Bey,HeywDa00,2015_01_PIT_NE,201509100nwe,2015,PIT,43,60,0,0,8,31
Matt Spaeth,SpaeMa00,2015_01_PIT_NE,201509100nwe,2015,PIT,23,32,0,0,13,50
Will Johnson,JohnWi00,2015_01_PIT_NE,201509100nwe,2015,PIT,9,12,0,0,7,27
Tyler Murphy,MurpTy00,2015_01_PIT_NE,201509100nwe,2015,PIT,7,10,0,0,0,0
Roosevelt Nix,NixxRo01,2015_01_PIT_NE,201509100nwe,2015,PIT,4,6,0,0,8,31
Alejandro Villanueva,VillAl00,2015_01_PIT_NE,201509100nwe,2015,PIT,4,6,0,0,5,19
Dri Archer,ArchDr00,2015_01_PIT_NE,201509100nwe,2015,PIT,3,4,0,0,5,19
Lawrence Timmons,TimmLa99,2015_01_PIT_NE,201509100nwe,2015,PIT,0,0,61,100,4,15
Ryan Shazier,ShazRy00,2015_01_PIT_NE,201509100nwe,2015,PIT,0,0,58,95,11,42
Antwon Blake,BlakAn00,2015_01_PIT_NE,201509100nwe,2015,PIT,0,0,56,92,7,27
Will Allen,AlleWi21,2015_01_PIT_NE,201509100nwe,2015,PIT,0,0,56,92,5,19
William Gay,GayxWi99,2015_01_PIT_NE,201509100nwe,2015,PIT,0,0,56,92,4,15
