player,url,type,position,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct,pfr_game_id,season
Joe Thuney,/players/T/ThunJo00.htm,home,G,81,100,0,0,5,13,201709070nwe,2017
Nate Solder,/players/S/SoldNa00.htm,home,T,81,100,0,0,5,13,201709070nwe,2017
Shaq Mason,/players/M/MasoSh01.htm,home,G,81,100,0,0,5,13,201709070nwe,2017
Marcus Cannon,/players/C/CannMa00.htm,home,T,81,100,0,0,5,13,201709070nwe,2017
David Andrews,/players/A/AndrDa00.htm,home,C,81,100,0,0,0,0,201709070nwe,2017
Tom Brady,/players/B/BradTo00.htm,home,QB,81,100,0,0,0,0,201709070nwe,2017
Rob Gronkowski,/players/G/GronRo00.htm,home,TE,78,96,0,0,0,0,201709070nwe,2017
Chris Hogan,/players/H/HogaCh00.htm,home,WR,73,90,0,0,1,3,201709070nwe,2017
Brandin Cooks,/players/C/CookBr00.htm,home,WR,67,83,0,0,0,0,201709070nwe,2017
James White,/players/W/WhitJa02.htm,home,RB,43,53,0,0,1,3,201709070nwe,2017
Danny Amendola,/players/A/AmenDa00.htm,home,WR,32,40,0,0,7,18,201709070nwe,2017
Dwayne Allen,/players/A/AlleDw00.htm,home,TE,27,33,0,0,9,24,201709070nwe,2017
Mike Gillislee,/players/G/GillMi00.htm,home,RB,24,30,0,0,0,0,201709070nwe,2017
James Develin,/players/D/DeveJa00.htm,home,FB,19,23,0,0,13,34,201709070nwe,2017
Phillip Dorsett,/players/D/DorsPh00.htm,home,WR,18,22,0,0,0,0,201709070nwe,2017
Rex Burkhead,/players/B/BurkRe00.htm,home,RB,10,12,0,0,7,18,201709070nwe,2017
LaAdrian Waddle,/players/W/WaddLa01.htm,home,T,8,10,0,0,5,13,201709070nwe,2017
Dion Lewis,/players/L/LewiDi00.htm,home,RB,6,7,0,0,7,18,201709070nwe,2017
Kyle Van Noy,/players/V/VanNKy00.htm,home,LB,0,0,68,100,14,37,201709070nwe,2017
Stephon Gilmore,/players/G/GilmSt00.htm,home,CB,0,0,68,100,9,24,201709070nwe,2017
Malcolm Butler,/players/B/ButlMa01.htm,home,CB,0,0,68,100,0,0,201709070nwe,2017
Trey Flowers,/players/F/FlowTr00.htm,home,DE,0,0,68,100,0,0,201709070nwe,2017
Devin McCourty,/players/M/McCoDe99.htm,home,FS,0,0,67,99,11,29,201709070nwe,2017
Duron Harmon,/players/H/HarmDu00.htm,home,FS,0,0,62,91,2,5,201709070nwe,2017
Malcom Brown,/players/B/BrowMa01.htm,home,DT,0,0,48,71,6,16,201709070nwe,2017
Patrick Chung,/players/C/ChunPa99.htm,home,SS,0,0,45,66,10,26,201709070nwe,2017
Alan Branch,/players/B/BranAl99.htm,home,DT,0,0,42,62,11,29,201709070nwe,2017
Jordan Richards,/players/R/RichJo00.htm,home,SS,0,0,41,60,33,87,201709070nwe,2017
Eric Rowe,/players/R/RoweEr00.htm,home,CB,0,0,36,53,8,21,201709070nwe,2017
Dont'a Hightower,/players/H/HighDo01.htm,home,LB,0,0,35,51,3,8,201709070nwe,2017
Lawrence Guy,/players/G/GuyxLa00.htm,home,DE,0,0,26,38,15,39,201709070nwe,2017
Cassius Marsh,/players/M/MarsCa00.htm,home,DE,0,0,23,34,32,84,201709070nwe,2017
Adam Butler,/players/B/ButlAd00.htm,home,DT,0,0,20,29,0,0,201709070nwe,2017
Deatrich Wise Jr.,/players/W/WiseDe00.htm,home,DE,0,0,17,25,8,21,201709070nwe,2017
Elandon Roberts,/players/R/RobeEl00.htm,home,LB,0,0,9,13,16,42,201709070nwe,2017
Jonathan Jones,/players/J/JoneJo03.htm,home,CB,0,0,3,4,26,68,201709070nwe,2017
David Harris,/players/H/HarrDa99.htm,home,LB,0,0,2,3,0,0,201709070nwe,2017
Marquis Flowers,/players/F/FlowMa00.htm,home,LB,0,0,0,0,29,76,201709070nwe,2017
Brandon King,/players/K/KingBr02.htm,home,FS,0,0,0,0,27,71,201709070nwe,2017
Johnson Bademosi,/players/B/BadeJo00.htm,home,CB,0,0,0,0,27,71,201709070nwe,2017
Brandon Bolden,/players/B/BoldBr00.htm,home,RB,0,0,0,0,23,61,201709070nwe,2017
Stephen Gostkowski,/players/G/GostSt20.htm,home,K,0,0,0,0,11,29,201709070nwe,2017
Joe Cardona,/players/C/CardJo00.htm,home,LS,0,0,0,0,11,29,201709070nwe,2017
Ryan Allen,/players/A/AlleRy01.htm,home,P,0,0,0,0,11,29,201709070nwe,2017
Ted Karras,/players/K/KarrTe00.htm,home,C,0,0,0,0,5,13,201709070nwe,2017
Bryan Witzmann,/players/W/WitzBr00.htm,away,G,68,100,0,0,6,16,201709070nwe,2017
Mitch Morse,/players/M/MorsMi00.htm,away,C,68,100,0,0,6,16,201709070nwe,2017
