season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2021,Shaquil Barrett,BarrSh00,TB,29,OLB,15,15,1,11,9,0.818,79,8.8,7.2,0,58.7,3.3,24,55,66,15,13,10,39,51,4,0.073,2022-01-26
2021,James Bradberry,BradJa00,NYG,28,CB,17,16,4,115,71,0.617,848,11.9,7.4,8,93,9.3,555,293,1,0,0,0,0,47,13,0.217,2022-01-26
2021,Leonard Floyd,FloyLe00,LA,29,OLB,17,17,1,12,10,0.833,96,9.6,8,0,65.3,2.5,14,82,70,18,6,9.5,37,70,11,0.136,2022-01-26
2021,Lawrence Guy,GuyxLa00,NE,31,DT,17,17,0,0,0,NA,0,NA,NA,0,NA,NA,0,0,0,4,3,1.5,9,60,6,0.091,2022-01-26
2021,Neville Hewitt,HewiNe00,HOU,28,lb,17,5,0,11,9,0.818,99,11,9,0,104.2,3.6,40,59,14,0,1,0,1,60,2,0.032,2022-01-26
2021,Jaylon Johnson,JohnJa13,CHI,22,DB,15,15,1,72,43,0.597,564,13.1,7.8,5,101.9,11.8,350,214,0,0,0,0,0,46,7,0.132,2022-01-26
2021,John Johnson,JohnJo10,CLE,26,S,15,15,3,36,21,0.583,308,14.7,8.6,2,70.1,12.5,189,119,3,0,1,0.5,2,61,9,0.129,2022-01-26
2021,Dean Marlowe,MarlDe00,DET,29,s,16,9,0,30,24,0.8,290,12.1,9.7,1,118.1,9.7,227,63,19,3,1,0,4,67,5,0.069,2022-01-26
2021,James Pierre,PierJa01,PIT,25,cb,17,4,1,53,32,0.604,458,14.3,8.6,4,105.7,12.2,335,123,0,0,0,0,0,47,3,0.06,2022-01-26
2021,Haason Reddick,ReddHa00,CAR,27,OLB,16,16,0,12,9,0.75,51,5.7,4.3,0,82.3,2.6,13,38,62,14,5,11,33,68,4,0.055999999999999994,2022-01-26
2021,Joey Bosa,BosaJo00,LAC,26,OLB,16,16,0,4,4,1,16,4,4,0,83.3,-2.5,-10,26,22,21,11,10.5,43,51,13,0.203,2022-01-26
2021,Maxx Crosby,CrosMa00,LV,24,DE,17,17,0,1,1,1,5,5,5,0,87.5,-3,-3,8,0,13,19,8,42,56,3,0.051,2022-01-26
2021,Shaquill Griffin,GrifSh00,JAX,26,CB,14,14,0,66,46,0.6970000000000001,542,11.8,8.2,3,109.5,9.3,359,183,3,0,2,0,2,49,5,0.09300000000000001,2022-01-26
2021,Anthony Harris,HarrAn01,PHI,30,S,14,14,1,45,23,0.511,280,12.2,6.2,1,68.7,10,163,117,5,0,1,0,1,72,2,0.027000000000000003,2022-01-26
2021,William Jackson III,JackWi02,WAS,29,CB,12,12,2,66,39,0.591,498,12.8,7.5,6,100.4,13.1,380,118,0,0,0,0,0,39,5,0.114,2022-01-26
2021,Ernest Jones,JoneEr01,LA,22,lb,15,7,2,43,32,0.7440000000000001,226,7.1,5.3,1,74.4,3.5,61,165,20,0,1,1,3,61,4,0.062,2022-01-26
2021,Julian Love,LoveJu00,NYG,23,s,17,5,1,45,32,0.711,330,10.3,7.3,2,97.5,7.5,213,117,12,0,1,0.5,2,66,4,0.057,2022-01-26
2021,Trevon Moehrig,MoehTr00,LV,22,S,17,17,1,24,14,0.583,181,12.9,7.5,2,92.5,15.7,148,33,2,1,0,0,1,55,9,0.141,2022-01-26
2021,Josh Norman,NormJo01,SF,34,CB,15,14,1,60,40,0.667,542,13.6,9,4,110.6,13.7,411,131,5,0,0,0,0,49,7,0.125,2022-01-26
2021,Pete Werner,WernPe00,NO,22,lb,15,8,0,28,21,0.75,134,6.4,4.8,0,84.5,2.9,28,106,12,0,1,0,1,62,1,0.016,2022-01-26
2021,P.J. Williams,WillP.00,NO,28,cb,16,5,3,39,30,0.769,249,8.3,6.4,0,60.7,7,135,114,14,1,2,2,5,42,11,0.20800000000000002,2022-01-26
2021,Quinnen Williams,WillQu00,NYJ,24,DT,15,15,0,2,2,1,28,14,14,0,118.7,-4.5,-9,37,0,4,5,6,16,53,3,0.054000000000000006,2022-01-26
2021,Jayon Brown,BrowJa06,TEN,26,lb,10,6,1,25,20,0.8,187,9.4,7.5,1,94.5,4.5,82,105,8,0,0,0,0,55,4,0.068,2022-01-26
2021,Rashaan Evans,EvanRa01,TEN,26,LB,12,11,2,25,19,0.76,221,11.6,8.8,1,82.2,6.6,113,108,13,1,0,0,1,57,4,0.066,2022-01-26
2021,Damontae Kazee,KazeDa00,DAL,28,S,17,15,2,25,13,0.52,205,15.8,8.2,4,85.8,14.2,135,70,4,0,0,0,0,52,6,0.10300000000000001,2022-01-26
2021,David Long,LongDa02,LA,23,cb,16,5,1,46,28,0.609,374,13.4,8.1,1,84.9,10.6,262,112,1,0,0,0,0,40,5,0.111,2022-01-26
2021,Jalen Mills,MillJa02,NE,27,CB,16,16,0,65,37,0.569,406,11,6.2,7,111.4,9.6,278,128,5,0,0,0,0,47,6,0.113,2022-01-26
2021,Daron Payne,PaynDa00,WAS,24,DT,17,17,0,0,0,NA,0,NA,NA,0,NA,NA,0,0,0,13,9,4.5,27,61,9,0.129,2022-01-26
2021,Greedy Williams,WillGr00,CLE,24,cb,16,8,2,67,37,0.552,457,12.4,6.8,2,74,12.3,290,167,3,0,0,0,0,41,7,0.146,2022-01-26
2021,Mike Edwards,EdwaMi01,TB,25,s,14,4,3,35,19,0.5429999999999999,233,12.3,6.7,3,67.9,8.8,129,104,24,3,0,0,3,46,2,0.042,2022-01-26
2021,Charles Harris,HarrCh03,DET,26,OLB,17,14,0,9,8,0.889,41,5.1,4.6,1,122.7,1.3,9,32,31,19,7,7.5,34,65,6,0.085,2022-01-26
