player,pfr_id,game_id,pfr_game_id,season,team,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
J.R. Sweezy,SweeJ.00,2014_01_GB_SEA,201409040sea,2014,SEA,70,100,0,0,11,41
Russell Okung,OkunRu20,2014_01_GB_SEA,201409040sea,2014,SEA,70,100,0,0,6,22
Justin Britt,BritJu00,2014_01_GB_SEA,201409040sea,2014,SEA,70,100,0,0,6,22
James Carpenter,CarpJa00,2014_01_GB_SEA,201409040sea,2014,SEA,70,100,0,0,6,22
Russell Wilson,WilsRu00,2014_01_GB_SEA,201409040sea,2014,SEA,70,100,0,0,0,0
Max Unger,UngeMa20,2014_01_GB_SEA,201409040sea,2014,SEA,70,100,0,0,0,0
Doug Baldwin,BaldDo00,2014_01_GB_SEA,201409040sea,2014,SEA,57,81,0,0,10,37
Jermaine Kearse,KearJe01,2014_01_GB_SEA,201409040sea,2014,SEA,54,77,0,0,8,30
Zach Miller,MillZa01,2014_01_GB_SEA,201409040sea,2014,SEA,54,77,0,0,6,22
Marshawn Lynch,LyncMa00,2014_01_GB_SEA,201409040sea,2014,SEA,45,64,0,0,0,0
Percy Harvin,HarvPe00,2014_01_GB_SEA,201409040sea,2014,SEA,39,56,0,0,5,19
Luke Willson,WillLu00,2014_01_GB_SEA,201409040sea,2014,SEA,26,37,0,0,11,41
Robert Turbin,TurbRo00,2014_01_GB_SEA,201409040sea,2014,SEA,18,26,0,0,0,0
Ricardo Lockette,LockRi00,2014_01_GB_SEA,201409040sea,2014,SEA,17,24,0,0,10,37
Derrick Coleman,ColeDe00,2014_01_GB_SEA,201409040sea,2014,SEA,15,21,0,0,19,70
Bryan Walters,WaltBr00,2014_01_GB_SEA,201409040sea,2014,SEA,13,19,0,0,2,7
Paul Richardson,RichPa01,2014_01_GB_SEA,201409040sea,2014,SEA,10,14,0,0,0,0
Garry Gilliam,GillGa01,2014_01_GB_SEA,201409040sea,2014,SEA,2,3,0,0,0,0
Earl Thomas,ThomEa99,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,62,100,11,41
Kam Chancellor,ChanKa99,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,62,100,5,19
Bobby Wagner,WagnBo00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,62,100,2,7
Richard Sherman,SherRi00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,61,98,7,26
Byron Maxwell,MaxwBy00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,61,98,7,26
K.J. Wright,WrigK.00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,56,90,3,11
Michael Bennett,BennMi99,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,49,79,2,7
Cliff Avril,AvriCl99,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,40,65,2,7
Jeremy Lane,LaneJe00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,32,52,5,19
Jordan Hill,HillJo01,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,32,52,0,0
O'Brien Schofield,SchoOB99,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,30,48,0,0
Marcus Burley,BurlMa00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,25,40,2,7
Kevin Williams,WillKe98,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,24,39,2,7
Brandon Mebane,MebaBr99,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,23,37,0,0
Bruce Irvin,IrviBr00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,19,31,0,0
Tony McDaniel,McDaTo20,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,16,26,2,7
Cassius Marsh,MarsCa00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,16,26,0,0
Malcolm Smith,SmitMa02,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,10,16,21,78
Mike Morgan,MorgMi00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,1,2,21,78
Brock Coyle,CoylBr00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,1,2,19,70
Jeron Johnson,JohnJe02,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,0,0,19,70
DeShawn Shead,SheaDe00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,0,0,19,70
Stephen Hauschka,HausSt00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,0,0,13,48
Stephen Schilling,SchiSt00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,0,0,11,41
Clint Gresham,GresCl00,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,0,0,9,33
Jon Ryan,RyanJo21,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,0,0,9,33
Alvin Bailey,BailAl01,2014_01_GB_SEA,201409040sea,2014,SEA,0,0,0,0,6,22
David Bakhtiari,BakhDa00,2014_01_GB_SEA,201409040sea,2014,GB,62,100,0,0,2,7
Josh Sitton,SittJo20,2014_01_GB_SEA,201409040sea,2014,GB,62,100,0,0,2,7
T.J. Lang,LangT.20,2014_01_GB_SEA,201409040sea,2014,GB,62,100,0,0,2,7
Aaron Rodgers,RodgAa00,2014_01_GB_SEA,201409040sea,2014,GB,62,100,0,0,0,0
Corey Linsley,LinsCo00,2014_01_GB_SEA,201409040sea,2014,GB,62,100,0,0,0,0
Jordy Nelson,NelsJo00,2014_01_GB_SEA,201409040sea,2014,GB,61,98,0,0,0,0
Randall Cobb,CobbRa00,2014_01_GB_SEA,201409040sea,2014,GB,57,92,0,0,3,11
Jarrett Boykin,BoykJa00,2014_01_GB_SEA,201409040sea,2014,GB,49,79,0,0,7,26
Andrew Quarless,QuarAn00,2014_01_GB_SEA,201409040sea,2014,GB,46,74,0,0,1,4
Derek Sherrod,SherDe00,2014_01_GB_SEA,201409040sea,2014,GB,42,68,0,0,2,7
