player,pfr_id,game_id,pfr_game_id,season,team,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
Andrew Wylie,WyliAn00,2020_01_HOU_KC,202009100kan,2020,KC,69,100,0,0,6,24
Mitchell Schwartz,SchwMi00,2020_01_HOU_KC,202009100kan,2020,KC,69,100,0,0,6,24
Austin Reiter,ReitAu00,2020_01_HOU_KC,202009100kan,2020,KC,69,100,0,0,6,24
Kelechi Osemele,OsemKe00,2020_01_HOU_KC,202009100kan,2020,KC,69,100,0,0,6,24
Eric Fisher,FishEr00,2020_01_HOU_KC,202009100kan,2020,KC,69,100,0,0,6,24
Patrick Mahomes,MahoPa00,2020_01_HOU_KC,202009100kan,2020,KC,69,100,0,0,0,0
Travis Kelce,KelcTr00,2020_01_HOU_KC,202009100kan,2020,KC,61,88,0,0,0,0
Tyreek Hill,HillTy00,2020_01_HOU_KC,202009100kan,2020,KC,59,86,0,0,0,0
Sammy Watkins,WatkSa00,2020_01_HOU_KC,202009100kan,2020,KC,55,80,0,0,0,0
Clyde Edwards-Helaire,EdwaCl00,2020_01_HOU_KC,202009100kan,2020,KC,46,67,0,0,0,0
Demarcus Robinson,RobiDe01,2020_01_HOU_KC,202009100kan,2020,KC,33,48,0,0,3,12
Nick Keizer,KeizNi00,2020_01_HOU_KC,202009100kan,2020,KC,30,43,0,0,14,56
Darrel Williams,WillDa10,2020_01_HOU_KC,202009100kan,2020,KC,23,33,0,0,0,0
Mecole Hardman,HardMe00,2020_01_HOU_KC,202009100kan,2020,KC,20,29,0,0,10,40
Anthony Sherman,SherAn00,2020_01_HOU_KC,202009100kan,2020,KC,11,16,0,0,19,76
Byron Pringle,PrinBy00,2020_01_HOU_KC,202009100kan,2020,KC,6,9,0,0,16,64
Nick Allegretti,AlleNi00,2020_01_HOU_KC,202009100kan,2020,KC,1,1,0,0,6,24
Tyrann Mathieu,MathTy00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,59,100,0,0
Daniel Sorensen,SoreDa01,2020_01_HOU_KC,202009100kan,2020,KC,0,0,57,97,8,32
L'Jarius Sneed,SneeLJ00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,55,93,0,0
Frank Clark,ClarFr01,2020_01_HOU_KC,202009100kan,2020,KC,0,0,53,90,0,0
Chris Jones,JoneCh09,2020_01_HOU_KC,202009100kan,2020,KC,0,0,52,88,3,12
Tanoh Kpassagnon,KpasTa00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,49,83,6,24
Antonio Hamilton,HamiAn01,2020_01_HOU_KC,202009100kan,2020,KC,0,0,38,64,16,64
Juan Thornhill,ThorJu00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,38,64,0,0
Ben Niemann,NiemBe00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,36,61,13,52
Rashad Fenton,FentRa00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,32,54,10,40
Charvarius Ward,WardCh01,2020_01_HOU_KC,202009100kan,2020,KC,0,0,31,53,4,16
Michael Danna,DannMi00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,29,49,2,8
Anthony Hitchens,HitcAn00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,26,44,3,12
Tedric Thompson,ThomTe00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,21,36,0,0
Damien Wilson,WilsDa02,2020_01_HOU_KC,202009100kan,2020,KC,0,0,20,34,3,12
Derrick Nnadi,NnadDe00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,16,27,3,12
Tershawn Wharton,WharTe00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,14,24,2,8
Alex Okafor,OkafAl00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,10,17,1,4
Khalen Saunders,SaunKh00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,8,14,0,0
Dorian O'Daniel,ODanDo00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,5,8,19,76
Armani Watts,WattAr00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,0,0,19,76
Willie Gay Jr.,GayJWi00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,0,0,16,64
Harrison Butker,ButkHa00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,0,0,12,48
Marcus Kemp,KempMa00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,0,0,11,44
Tommy Townsend,TownTo01,2020_01_HOU_KC,202009100kan,2020,KC,0,0,0,0,9,36
James Winchester,WincJa00,2020_01_HOU_KC,202009100kan,2020,KC,0,0,0,0,9,36
Darwin Thompson,ThomDa06,2020_01_HOU_KC,202009100kan,2020,KC,0,0,0,0,8,32
Max Scharping,SchaMa01,2020_01_HOU_KC,202009100kan,2020,HOU,59,100,0,0,3,12
Laremy Tunsil,TunsLa00,2020_01_HOU_KC,202009100kan,2020,HOU,59,100,0,0,3,12
Tytus Howard,HowaTy00,2020_01_HOU_KC,202009100kan,2020,HOU,59,100,0,0,3,12
Zach Fulton,FultZa00,2020_01_HOU_KC,202009100kan,2020,HOU,59,100,0,0,3,12
Nick Martin,MartNi00,2020_01_HOU_KC,202009100kan,2020,HOU,59,100,0,0,0,0
Deshaun Watson,WatsDe00,2020_01_HOU_KC,202009100kan,2020,HOU,59,100,0,0,0,0
Jordan Akins,AkinJo00,2020_01_HOU_KC,202009100kan,2020,HOU,48,81,0,0,12,48
David Johnson,JohnDa08,2020_01_HOU_KC,202009100kan,2020,HOU,48,81,0,0,0,0
Will Fuller,FullWi01,2020_01_HOU_KC,202009100kan,2020,HOU,47,80,0,0,0,0
Randall Cobb,CobbRa00,2020_01_HOU_KC,202009100kan,2020,HOU,46,78,0,0,0,0
Brandin Cooks,CookBr00,2020_01_HOU_KC,202009100kan,2020,HOU,31,53,0,0,0,0
Darren Fells,FellDa01,2020_01_HOU_KC,202009100kan,2020,HOU,25,42,0,0,3,12
Kenny Stills,StilKe00,2020_01_HOU_KC,202009100kan,2020,HOU,22,37,0,0,0,0
Duke Johnson,JohnDu00,2020_01_HOU_KC,202009100kan,2020,HOU,14,24,0,0,0,0
DeAndre Carter,CartDe02,2020_01_HOU_KC,202009100kan,2020,HOU,13,22,0,0,9,36
Roderick Johnson,JohnRo06,2020_01_HOU_KC,202009100kan,2020,HOU,1,2,0,0,3,12
Zach Cunningham,CunnZa00,2020_01_HOU_KC,202009100kan,2020,HOU,0,0,69,100,9,36
Justin Reid,ReidJu00,2020_01_HOU_KC,202009100kan,2020,HOU,0,0,69,100,6,24
Bradley Roby,RobyBr00,2020_01_HOU_KC,202009100kan,2020,HOU,0,0,69,100,0,0
Eric Murray,MurrEr00,2020_01_HOU_KC,202009100kan,2020,HOU,0,0,67,97,1,4
