player,pfr_id,game_id,pfr_game_id,season,team,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
Tristan Wirfs,WirfTr00,2021_01_DAL_TB,202109090tam,2021,TB,65,100,0,0,5,15
Ali Marpet,MarpAl00,2021_01_DAL_TB,202109090tam,2021,TB,65,100,0,0,5,15
Alex Cappa,CappAl00,2021_01_DAL_TB,202109090tam,2021,TB,65,100,0,0,5,15
Donovan Smith,SmitDo02,2021_01_DAL_TB,202109090tam,2021,TB,65,100,0,0,5,15
Tom Brady,BradTo00,2021_01_DAL_TB,202109090tam,2021,TB,65,100,0,0,0,0
Ryan Jensen,JensRy00,2021_01_DAL_TB,202109090tam,2021,TB,65,100,0,0,0,0
Chris Godwin,GodwCh00,2021_01_DAL_TB,202109090tam,2021,TB,64,98,0,0,0,0
Mike Evans,EvanMi00,2021_01_DAL_TB,202109090tam,2021,TB,61,94,0,0,0,0
Rob Gronkowski,GronRo00,2021_01_DAL_TB,202109090tam,2021,TB,57,88,0,0,0,0
Antonio Brown,BrowAn04,2021_01_DAL_TB,202109090tam,2021,TB,42,65,0,0,0,0
Leonard Fournette,FourLe00,2021_01_DAL_TB,202109090tam,2021,TB,42,65,0,0,0,0
Cameron Brate,BratCa00,2021_01_DAL_TB,202109090tam,2021,TB,18,28,0,0,0,0
Giovani Bernard,BernGi00,2021_01_DAL_TB,202109090tam,2021,TB,17,26,0,0,7,21
Scott Miller,MillSc01,2021_01_DAL_TB,202109090tam,2021,TB,8,12,0,0,0,0
Ronald Jones II,JoneRo01,2021_01_DAL_TB,202109090tam,2021,TB,6,9,0,0,0,0
O.J. Howard,HowaO.00,2021_01_DAL_TB,202109090tam,2021,TB,6,9,0,0,0,0
Tyler Johnson,JohnTy00,2021_01_DAL_TB,202109090tam,2021,TB,3,5,0,0,7,21
Vita Vea,VeaxVi00,2021_01_DAL_TB,202109090tam,2021,TB,1,2,54,64,14,41
Devin White,WhitDe02,2021_01_DAL_TB,202109090tam,2021,TB,0,0,84,100,9,26
Antoine Winfield Jr.,WinfAn00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,84,100,8,24
Carlton Davis,DaviCa02,2021_01_DAL_TB,202109090tam,2021,TB,0,0,84,100,7,21
Lavonte David,DaviLa00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,84,100,1,3
Jason Pierre-Paul,PierJa99,2021_01_DAL_TB,202109090tam,2021,TB,0,0,77,92,0,0
Jamel Dean,DeanJa00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,76,90,10,29
Shaquil Barrett,BarrSh00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,71,85,1,3
Mike Edwards,EdwaMi01,2021_01_DAL_TB,202109090tam,2021,TB,0,0,69,82,3,9
Ndamukong Suh,SuhxNd99,2021_01_DAL_TB,202109090tam,2021,TB,0,0,53,63,0,0
Ross Cockrell,CockRo00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,46,55,28,82
William Gholston,GholWi00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,32,38,7,21
Rakeem Nunez-Roches,NuneRa00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,28,33,14,41
Steve McLendon,McLeSt00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,27,32,1,3
Joe Tryon-Shoyinka,TryoJo00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,21,25,21,62
Sean Murphy-Bunting,BuntSe00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,16,19,2,6
Andrew Adams,AdamAn00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,11,13,15,44
Anthony Nelson,NelsAn01,2021_01_DAL_TB,202109090tam,2021,TB,0,0,7,8,23,68
Kevin Minter,MintKe00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,28,82
Dee Delaney,DelaDe00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,28,82
Pat O'Connor,OConPa00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,25,74
Jaydon Mickens,MickJa01,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,21,62
Grant Stuard,StuaGr00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,20,59
K.J. Britt,BritKJ00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,18,53
Bradley Pinion,PiniBr00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,16,47
Zach Triner,TrinZa00,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,10,29
Ryan Succop,SuccRy44,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,5,15
Josh Wells,WellJo02,2021_01_DAL_TB,202109090tam,2021,TB,0,0,0,0,5,15
Connor McGovern,McGoCo01,2021_01_DAL_TB,202109090tam,2021,DAL,83,99,0,0,8,24
Tyler Biadasz,BiadTy00,2021_01_DAL_TB,202109090tam,2021,DAL,83,99,0,0,8,24
Tyron Smith,SmitTy00,2021_01_DAL_TB,202109090tam,2021,DAL,83,99,0,0,8,24
Connor Williams,WillCo00,2021_01_DAL_TB,202109090tam,2021,DAL,83,99,0,0,3,9
Dak Prescott,PresDa01,2021_01_DAL_TB,202109090tam,2021,DAL,83,99,0,0,0,0
La'el Collins,CollLa01,2021_01_DAL_TB,202109090tam,2021,DAL,83,99,0,0,0,0
Amari Cooper,CoopAm00,2021_01_DAL_TB,202109090tam,2021,DAL,74,88,0,0,0,0
Ezekiel Elliott,ElliEz00,2021_01_DAL_TB,202109090tam,2021,DAL,70,83,0,0,0,0
CeeDee Lamb,LambCe00,2021_01_DAL_TB,202109090tam,2021,DAL,61,73,0,0,2,6
Dalton Schultz,SchuDa00,2021_01_DAL_TB,202109090tam,2021,DAL,57,68,0,0,8,24
Michael Gallup,GallMi00,2021_01_DAL_TB,202109090tam,2021,DAL,50,60,0,0,0,0
Blake Jarwin,JarwBl00,2021_01_DAL_TB,202109090tam,2021,DAL,48,57,0,0,0,0
Cedrick Wilson Jr.,WilsCe01,2021_01_DAL_TB,202109090tam,2021,DAL,34,40,0,0,8,24
Tony Pollard,PollTo00,2021_01_DAL_TB,202109090tam,2021,DAL,20,24,0,0,9,27
Jeremy Sprinkle,SpriJe00,2021_01_DAL_TB,202109090tam,2021,DAL,3,4,0,0,17,50
Donovan Wilson,WilsDo01,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,55,85,5,15
Micah Parsons,ParsMi00,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,51,78,5,15
Keanu Neal,NealKe01,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,50,77,5,15
Dorance Armstrong Jr.,ArmsDo00,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,27,42,23,68
Leighton Vander Esch,VandLe00,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,14,22,9,27
Darian Thompson,ThomDa05,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,1,2,26,77
C.J. Goodwin,GoodC.00,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,0,0,22,65
Jabril Cox,CoxxJa00,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,0,0,21,62
Corey Clement,ClemCo00,2021_01_DAL_TB,202109090tam,2021,DAL,1,1,0,0,16,47
Trevon Diggs,DiggTr00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,65,100,0,0
Anthony Brown,BrowAn02,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,65,100,0,0
Damontae Kazee,KazeDa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,52,80,2,6
Jourdan Lewis,LewiJo01,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,49,75,0,0
DeMarcus Lawrence,LawrDe00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,43,66,0,0
Jayron Kearse,KearJa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,40,62,21,62
Randy Gregory,GregRa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,37,57,0,0
Osa Odighizuwa,OdigOs00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,36,55,0,0
Carlos Watkins,WatkCa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,30,46,5,15
Brent Urban,UrbaBr00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,28,43,5,15
Tarell Basham,BashTa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,24,37,13,38
Quinton Bohanna,BohaQu00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,20,31,5,15
Jaylon Smith,SmitJa05,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,16,25,5,15
Bradlee Anae,AnaeBr00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,10,15,18,53
Maurice Canady,CanaMa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,2,3,11,32
Nahshon Wright,WrigNa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,18,53
Greg Zuerlein,ZuerGr00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,15,44
Jake McQuaide,McQuJa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,11,32
Bryan Anger,AngeBr00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,11,32
Simi Fehoko,FehoSi00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,9,27
Terence Steele,SteeTe01,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,8,24
Matt Farniok,FarnMa00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,8,24
Ty Nsekhe,NsekTy00,2021_01_DAL_TB,202109090tam,2021,DAL,0,0,0,0,5,15
Kaleb McGary,McGaKa00,2021_01_PHI_ATL,202109120atl,2021,ATL,72,100,0,0,2,8
