player,pfr_id,game_id,pfr_game_id,season,team,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
Orlando Franklin,FranOr00,2013_01_BAL_DEN,201309050den,2013,DEN,71,100,0,0,7,16
Ryan Clady,CladRy20,2013_01_BAL_DEN,201309050den,2013,DEN,71,100,0,0,7,16
Zane Beadles,BeadZa20,2013_01_BAL_DEN,201309050den,2013,DEN,71,100,0,0,7,16
Louis Vasquez,VasqLo20,2013_01_BAL_DEN,201309050den,2013,DEN,71,100,0,0,7,16
Julius Thomas,ThomJu00,2013_01_BAL_DEN,201309050den,2013,DEN,71,100,0,0,4,9
Manuel Ramirez,RamiMa20,2013_01_BAL_DEN,201309050den,2013,DEN,71,100,0,0,0,0
Peyton Manning,MannPe00,2013_01_BAL_DEN,201309050den,2013,DEN,71,100,0,0,0,0
Demaryius Thomas,ThomDe03,2013_01_BAL_DEN,201309050den,2013,DEN,68,96,0,0,2,5
Eric Decker,DeckEr00,2013_01_BAL_DEN,201309050den,2013,DEN,64,90,0,0,2,5
Wes Welker,WelkWe00,2013_01_BAL_DEN,201309050den,2013,DEN,56,79,0,0,4,9
Knowshon Moreno,MoreKn00,2013_01_BAL_DEN,201309050den,2013,DEN,37,52,0,0,2,5
Montee Ball,BallMo00,2013_01_BAL_DEN,201309050den,2013,DEN,18,25,0,0,16,37
Virgil Green,GreeVi00,2013_01_BAL_DEN,201309050den,2013,DEN,16,23,0,0,20,47
Ronnie Hillman,HillRo00,2013_01_BAL_DEN,201309050den,2013,DEN,15,21,0,0,0,0
Jacob Tamme,TammJa00,2013_01_BAL_DEN,201309050den,2013,DEN,7,10,0,0,21,49
Andre Caldwell,CaldAn00,2013_01_BAL_DEN,201309050den,2013,DEN,3,4,0,0,17,40
Rahim Moore,MoorRa00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,87,98,1,2
Wesley Woodyard,WoodWe20,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,84,94,5,12
Chris Harris Jr.,HarrCh01,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,80,90,0,0
Duke Ihenacho,IhenDu00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,78,88,1,2
Dominique Rodgers-Cromartie,RodgDo99,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,70,79,7,16
Robert Ayers,AyerRo99,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,70,79,5,12
Derek Wolfe,WolfDe00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,68,76,6,14
Danny Trevathan,TrevDa00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,66,74,16,37
Tony Carter,CartTo99,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,65,73,21,49
Shaun Phillips,PhilSh20,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,60,67,1,2
Mitch Unrein,UnreMi00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,37,42,10,23
Malik Jackson,JackMa02,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,36,40,9,21
Kevin Vickerson,VickKe99,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,36,40,1,2
Terrance Knighton,KnigTe99,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,35,39,7,16
Kayvon Webster,WebsKa00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,29,33,22,51
Mike Adams,AdamMi21,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,28,31,27,63
Nate Irving,IrviNa00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,23,26,23,53
Sylvester Williams,WillSy00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,16,18,0,0
Paris Lenon,LenoPa20,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,8,9,13,30
David Bruton,BrutDa99,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,2,2,34,79
Steven Johnson,JohnSt02,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,34,79
Omar Bolden,BoldOm00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,24,56
Adrian Robinson,RobiAd01,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,21,49
Matt Prater,PratMa20,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,15,35
Britton Colquitt,ColqBr00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,14,33
Aaron Brewer,BrewAa00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,14,33
Trindon Holliday,HollTr00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,11,26
Chris Clark,ClarCh21,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,7,16
Steve Vallos,VallSt00,2013_01_BAL_DEN,201309050den,2013,DEN,0,0,0,0,7,16
Marshal Yanda,YandMa20,2013_01_BAL_DEN,201309050den,2013,BAL,89,100,0,0,5,12
Gino Gradkowski,GradGi00,2013_01_BAL_DEN,201309050den,2013,BAL,89,100,0,0,5,12
Kelechi Osemele,OsemKe00,2013_01_BAL_DEN,201309050den,2013,BAL,89,100,0,0,5,12
Bryant McKinnie,McKiBr21,2013_01_BAL_DEN,201309050den,2013,BAL,89,100,0,0,5,12
Joe Flacco,FlacJo00,2013_01_BAL_DEN,201309050den,2013,BAL,89,100,0,0,0,0
Torrey Smith,SmitTo02,2013_01_BAL_DEN,201309050den,2013,BAL,87,98,0,0,0,0
Marlon Brown,BrowMa00,2013_01_BAL_DEN,201309050den,2013,BAL,67,75,0,0,6,14
Dallas Clark,ClarDa00,2013_01_BAL_DEN,201309050den,2013,BAL,60,67,0,0,0,0
Ricky Wagner,WagnRi00,2013_01_BAL_DEN,201309050den,2013,BAL,58,65,0,0,5,12
Brandon Stokley,StokBr00,2013_01_BAL_DEN,201309050den,2013,BAL,57,64,0,0,0,0
Ray Rice,RiceRa00,2013_01_BAL_DEN,201309050den,2013,BAL,53,60,0,0,0,0
Ed Dickson,DickEd00,2013_01_BAL_DEN,201309050den,2013,BAL,39,44,0,0,13,30
Bernard Pierce,PierBe00,2013_01_BAL_DEN,201309050den,2013,BAL,33,37,0,0,6,14
Michael Oher,OherMi20,2013_01_BAL_DEN,201309050den,2013,BAL,33,37,0,0,1,2
Vonta Leach,LeacVo00,2013_01_BAL_DEN,201309050den,2013,BAL,19,21,0,0,8,19
Jacoby Jones,JoneJa03,2013_01_BAL_DEN,201309050den,2013,BAL,18,20,0,0,3,7
Billy Bajema,BajeBi00,2013_01_BAL_DEN,201309050den,2013,BAL,10,11,0,0,9,21
James Ihedigbo,IhedJa00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,71,100,10,23
Daryl Smith,SmitDa24,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,71,100,1,2
Jimmy Smith,SmitJi03,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,68,96,6,14
Josh Bynes,ByneJo00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,65,92,17,40
Corey Graham,GrahCo99,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,65,92,14,33
Lardarius Webb,WebbLa99,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,62,87,5,12
Michael Huff,HuffMi20,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,61,86,6,14
Terrell Suggs,SuggTe99,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,59,83,1,2
Haloti Ngata,NgatHa20,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,51,72,7,16
Chris Canty,CantCh21,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,44,62,8,19
Elvis Dumervil,DumeEl20,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,40,56,2,5
Courtney Upshaw,UpshCo00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,37,52,16,37
Marcus Spears,SpeaMa21,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,33,46,0,0
Terrence Cody,CodyTe99,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,22,31,6,14
Matt Elam,ElamMa00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,13,18,36,84
Pernell McPhee,McPhPe00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,12,17,0,0
Arthur Brown,BrowAr00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,6,8,26,60
DeAngelo Tyson,TysoDe00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,1,1,7,16
Albert McClellan,McClAl00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,37,86
Brynden Trawick,TrawBr00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,37,86
Chykie Brown,BrowCh05,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,31,72
Anthony Levine,LeviAn00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,30,70
Kyle Juszczyk,JuszKy00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,30,70
Sam Koch,KochSa20,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,15,35
Morgan Cox,CoxxMo00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,15,35
Robert James,JameRo99,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,14,33
A.Q. Shipley,ShipA.20,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,12,28
Justin Tucker,TuckJu00,2013_01_BAL_DEN,201309050den,2013,BAL,0,0,0,0,11,26
Kraig Urbik,UrbiKr20,2013_01_NE_BUF,201309080buf,2013,BUF,63,100,0,0,3,9
Erik Pears,PearEr20,2013_01_NE_BUF,201309080buf,2013,BUF,63,100,0,0,3,9
Colin Brown,BrowCo23,2013_01_NE_BUF,201309080buf,2013,BUF,63,100,0,0,3,9
Cordy Glenn,GlenCo00,2013_01_NE_BUF,201309080buf,2013,BUF,63,100,0,0,3,9
Eric Wood,WoodEr20,2013_01_NE_BUF,201309080buf,2013,BUF,63,100,0,0,0,0
EJ Manuel,ManuEJ00,2013_01_NE_BUF,201309080buf,2013,BUF,63,100,0,0,0,0
Steve Johnson,JohnSt00,2013_01_NE_BUF,201309080buf,2013,BUF,62,98,0,0,0,0
Robert Woods,WoodRo02,2013_01_NE_BUF,201309080buf,2013,BUF,61,97,0,0,3,9
T.J. Graham,GrahT.00,2013_01_NE_BUF,201309080buf,2013,BUF,60,95,0,0,2,6
Scott Chandler,ChanSc00,2013_01_NE_BUF,201309080buf,2013,BUF,57,90,0,0,3,9
C.J. Spiller,SpilC.00,2013_01_NE_BUF,201309080buf,2013,BUF,37,59,0,0,0,0
Fred Jackson,JackFr02,2013_01_NE_BUF,201309080buf,2013,BUF,26,41,0,0,0,0
Marquise Goodwin,GoodMa00,2013_01_NE_BUF,201309080buf,2013,BUF,9,14,0,0,6,18
Lee Smith,SmitLe00,2013_01_NE_BUF,201309080buf,2013,BUF,2,3,0,0,9,27
Marcus Easley,EaslMa00,2013_01_NE_BUF,201309080buf,2013,BUF,1,2,0,0,24,73
Aaron Williams,WillAa00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,91,100,8,24
Kiko Alonso,AlonKi00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,91,100,6,18
Leodis McKelvin,McKeLe99,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,90,99,7,21
Justin Rogers,RogeJu00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,87,96,7,21
Mario Williams,WillMa22,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,73,80,6,18
Marcell Dareus,DareMa00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,72,79,6,18
Nickell Robey-Coleman,RobeNi00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,67,74,2,6
Kyle Williams,WillKy20,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,65,71,0,0
Jerry Hughes,HughJe99,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,62,68,6,18
Da'Norris Searcy,SearDa00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,60,66,12,36
Jim Leonhard,LeonJi23,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,57,63,10,30
Alex Carrington,CarrAl99,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,57,63,6,18
Manny Lawson,LawsMa20,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,37,41,11,33
Alan Branch,BranAl99,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,33,36,6,18
Arthur Moats,MoatAr00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,24,26,19,58
Nigel Bradham,BradNi00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,19,21,19,58
Ron Brooks,BrooRo01,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,10,11,14,42
Duke Williams,WillDu00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,4,4,15,45
Jamaal Westerman,WestJa99,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,3,3,24,73
Marcus Dowtin,DowtMa00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,19,58
Jonathan Meeks,MeekJo01,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,17,52
Chris Hogan,HogaCh00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,15,45
Brandon Burton,BurtBr00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,14,42
Garrison Sanborn,SanbGa00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,12,36
Shawn Powell,PoweSh00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,12,36
Frank Summers,SummFr00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,11,33
Dan Carpenter,CarpDa44,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,7,21
Tashard Choice,ChoiTa00,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,6,18
Thomas Welch,WelcTh20,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,3,9
Sam Young,YounSa21,2013_01_NE_BUF,201309080buf,2013,BUF,0,0,0,0,3,9
Logan Mankins,MankLo20,2013_01_NE_BUF,201309080buf,2013,NE,91,100,0,0,5,15
Ryan Wendell,WendRy20,2013_01_NE_BUF,201309080buf,2013,NE,91,100,0,0,5,15
Dan Connolly,ConnDa21,2013_01_NE_BUF,201309080buf,2013,NE,91,100,0,0,5,15
Sebastian Vollmer,VollSe20,2013_01_NE_BUF,201309080buf,2013,NE,91,100,0,0,5,15
Tom Brady,BradTo00,2013_01_NE_BUF,201309080buf,2013,NE,91,100,0,0,0,0
Kenbrell Thompkins,ThomKe02,2013_01_NE_BUF,201309080buf,2013,NE,87,96,0,0,0,0
Nate Solder,SoldNa00,2013_01_NE_BUF,201309080buf,2013,NE,85,93,0,0,5,15
Julian Edelman,EdelJu00,2013_01_NE_BUF,201309080buf,2013,NE,81,89,0,0,14,42
Michael Hoomanawanui,HoomMi00,2013_01_NE_BUF,201309080buf,2013,NE,78,86,0,0,9,27
Danny Amendola,AmenDa00,2013_01_NE_BUF,201309080buf,2013,NE,56,62,0,0,0,0
Shane Vereen,VereSh00,2013_01_NE_BUF,201309080buf,2013,NE,55,60,0,0,11,33
LeGarrette Blount,BlouLe00,2013_01_NE_BUF,201309080buf,2013,NE,22,24,0,0,4,12
Zach Sudfeld,SudfZa00,2013_01_NE_BUF,201309080buf,2013,NE,20,22,0,0,0,0
James Develin,DeveJa00,2013_01_NE_BUF,201309080buf,2013,NE,18,20,0,0,13,39
Marcus Cannon,CannMa00,2013_01_NE_BUF,201309080buf,2013,NE,16,18,0,0,5,15
Josh Boyce,BoycJo00,2013_01_NE_BUF,201309080buf,2013,NE,14,15,0,0,0,0
Stevan Ridley,RidlSt00,2013_01_NE_BUF,201309080buf,2013,NE,14,15,0,0,0,0
Kyle Arrington,ArriKy00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,63,100,18,55
Devin McCourty,McCoDe99,2013_01_NE_BUF,201309080buf,2013,NE,0,0,63,100,10,30
Steve Gregory,GregSt20,2013_01_NE_BUF,201309080buf,2013,NE,0,0,63,100,9,27
Aqib Talib,TaliAq99,2013_01_NE_BUF,201309080buf,2013,NE,0,0,63,100,8,24
Chandler Jones,JoneCh03,2013_01_NE_BUF,201309080buf,2013,NE,0,0,63,100,8,24
Rob Ninkovich,NinkRo20,2013_01_NE_BUF,201309080buf,2013,NE,0,0,63,100,5,15
Jerod Mayo,MayoJe99,2013_01_NE_BUF,201309080buf,2013,NE,0,0,63,100,3,9
Alfonzo Dennard,DennAl00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,61,97,0,0
Vince Wilfork,WilfVi20,2013_01_NE_BUF,201309080buf,2013,NE,0,0,51,81,3,9
Dont'a Hightower,HighDo01,2013_01_NE_BUF,201309080buf,2013,NE,0,0,45,71,7,21
Tommy Kelly,KellTo21,2013_01_NE_BUF,201309080buf,2013,NE,0,0,34,54,2,6
Joe Vellano,VellJo00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,29,46,7,21
Brandon Spikes,SpikBr99,2013_01_NE_BUF,201309080buf,2013,NE,0,0,16,25,0,0
Michael Buchanan,BuchMi00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,11,17,15,45
Jamie Collins,CollJa00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,2,3,28,85
Logan Ryan,RyanLo00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,2,3,14,42
Tavon Wilson,WilsTa00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,1,2,25,76
Matthew Slater,SlatMa00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,25,76
Dane Fletcher,FletDa00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,25,76
Chris White,WhitCh03,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,25,76
Stephen Gostkowski,GostSt20,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,11,33
Marquice Cole,ColeMa01,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,11,33
Ryan Allen,AlleRy01,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,11,33
Danny Aiken,AikeDa00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,11,33
Jake Bequette,BequJa00,2013_01_NE_BUF,201309080buf,2013,NE,0,0,0,0,1,3
Mike Adams,AdamMi02,2013_01_TEN_PIT,201309080pit,2013,PIT,53,100,0,0,1,4
Marcus Gilbert,GilbMa00,2013_01_TEN_PIT,201309080pit,2013,PIT,53,100,0,0,1,4
Ramon Foster,FostRa21,2013_01_TEN_PIT,201309080pit,2013,PIT,53,100,0,0,1,4
David DeCastro,DeCaDa00,2013_01_TEN_PIT,201309080pit,2013,PIT,53,100,0,0,1,4
Ben Roethlisberger,RoetBe00,2013_01_TEN_PIT,201309080pit,2013,PIT,53,100,0,0,0,0
David Paulson,PaulDa01,2013_01_TEN_PIT,201309080pit,2013,PIT,50,94,0,0,18,72
Kelvin Beachum,BeacKe00,2013_01_TEN_PIT,201309080pit,2013,PIT,48,91,0,0,1,4
Antonio Brown,BrowAn04,2013_01_TEN_PIT,201309080pit,2013,PIT,47,89,0,0,6,24
Emmanuel Sanders,SandEm00,2013_01_TEN_PIT,201309080pit,2013,PIT,46,87,0,0,0,0
Jerricho Cotchery,CotcJe00,2013_01_TEN_PIT,201309080pit,2013,PIT,39,74,0,0,0,0
Isaac Redman,RedmIs20,2013_01_TEN_PIT,201309080pit,2013,PIT,29,55,0,0,0,0
David Johnson,JohnDa05,2013_01_TEN_PIT,201309080pit,2013,PIT,17,32,0,0,0,0
LaRod Stephens-Howling,StepLa00,2013_01_TEN_PIT,201309080pit,2013,PIT,15,28,0,0,4,16
Maurkice Pouncey,PounMa20,2013_01_TEN_PIT,201309080pit,2013,PIT,8,15,0,0,0,0
Felix Jones,JoneFe00,2013_01_TEN_PIT,201309080pit,2013,PIT,7,13,0,0,5,20
Markus Wheaton,WheaMa00,2013_01_TEN_PIT,201309080pit,2013,PIT,7,13,0,0,4,16
Michael Palmer,PalmMi00,2013_01_TEN_PIT,201309080pit,2013,PIT,3,6,0,0,14,56
Derek Moye,MoyeDe00,2013_01_TEN_PIT,201309080pit,2013,PIT,2,4,0,0,3,12
Ike Taylor,TaylIk20,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,67,100,7,28
Lawrence Timmons,TimmLa99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,67,100,4,16
Troy Polamalu,PolaTr99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,67,100,4,16
Ryan Clark,ClarRy20,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,65,97,4,16
LaMarr Woodley,WoodLa99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,59,88,4,16
Larry Foote,FootLa20,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,58,87,2,8
Brett Keisel,KeisBr20,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,57,85,3,12
Evander Hood,HoodEv99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,48,72,3,12
William Gay,GayxWi99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,47,70,5,20
Jason Worilds,WoriJa99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,45,67,16,64
Steve McLendon,McLeSt00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,38,57,4,16
Jarvis Jones,JoneJa05,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,30,45,15,60
Cameron Heyward,HeywCa01,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,29,43,9,36
Cortez Allen,AlleCo00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,29,43,4,16
Shamarko Thomas,ThomSh00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,10,15,20,80
Al Woods,WoodAl99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,10,15,6,24
Kion Wilson,WilsKi00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,9,13,22,88
Robert Golden,GoldRo00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,2,3,12,48
Chris Carter,CartCh00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,0,0,19,76
Curtis Brown,BrowCu01,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,0,0,14,56
Terence Garvin,GarvTe00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,0,0,13,52
Zoltan Mesko,MeskZo99,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,0,0,8,32
Greg Warren,WarrGr20,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,0,0,8,32
Da'Mon Cromartie-Smith,CromDa00,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,0,0,7,28
Shaun Suisham,suishsha01,2013_01_TEN_PIT,201309080pit,2013,PIT,0,0,0,0,3,12
Chance Warmack,WarmCh00,2013_01_TEN_PIT,201309080pit,2013,TEN,67,100,0,0,4,16
Robert Turner,TurnRo22,2013_01_TEN_PIT,201309080pit,2013,TEN,67,100,0,0,4,16
David Stewart,StewDa21,2013_01_TEN_PIT,201309080pit,2013,TEN,67,100,0,0,4,16
Michael Roos,RoosMi20,2013_01_TEN_PIT,201309080pit,2013,TEN,67,100,0,0,4,16
Jake Locker,LockJa00,2013_01_TEN_PIT,201309080pit,2013,TEN,67,100,0,0,0,0
Andy Levitre,LeviAn20,2013_01_TEN_PIT,201309080pit,2013,TEN,67,100,0,0,0,0
Delanie Walker,WalkHu00,2013_01_TEN_PIT,201309080pit,2013,TEN,51,76,0,0,0,0
Craig Stevens,StevCr00,2013_01_TEN_PIT,201309080pit,2013,TEN,49,73,0,0,11,44
Kenny Britt,BritKe00,2013_01_TEN_PIT,201309080pit,2013,TEN,43,64,0,0,0,0
Chris Johnson,JohnCh04,2013_01_TEN_PIT,201309080pit,2013,TEN,43,64,0,0,0,0
Nate Washington,WashNa00,2013_01_TEN_PIT,201309080pit,2013,TEN,38,57,0,0,0,0
Damian Williams,WillDa04,2013_01_TEN_PIT,201309080pit,2013,TEN,27,40,0,0,1,4
Taylor Thompson,ThomTa00,2013_01_TEN_PIT,201309080pit,2013,TEN,25,37,0,0,22,88
Jackie Battle,BattJa00,2013_01_TEN_PIT,201309080pit,2013,TEN,19,28,0,0,18,72
Kendall Wright,WrigKe01,2013_01_TEN_PIT,201309080pit,2013,TEN,19,28,0,0,0,0
Collin Mooney,MoonCo00,2013_01_TEN_PIT,201309080pit,2013,TEN,17,25,0,0,6,24
Shonn Greene,GreeSh00,2013_01_TEN_PIT,201309080pit,2013,TEN,4,6,0,0,0,0
Zach Brown,BrowZa00,2013_01_TEN_PIT,201309080pit,2013,TEN,0,0,53,100,3,12
Jason McCourty,McCoJa99,2013_01_TEN_PIT,201309080pit,2013,TEN,0,0,53,100,3,12
Moise Fokou,FokoMo99,2013_01_TEN_PIT,201309080pit,2013,TEN,0,0,53,100,3,12
