game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Devin White,WhitDe02,0,7,7,1,54,7.7,7.7,0,98.8,4.3,30,24,7,0,0,0,0,10,2,0.167
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Lavonte David,DaviLa00,0,7,6,0.857,34,5.7,4.9,0,86.9,5.6,14,20,9,0,1,0,1,11,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Ross Cockrell,CockRo00,0,9,6,0.667,63,10.5,7,1,123.8,7.6,52,11,1,0,0,0,0,6,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Jamel Dean,DeanJa00,0,8,5,0.625,61,12.2,7.6,0,85.9,8.4,16,45,0,0,0,0,0,9,1,0.1
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Carlton Davis,DaviCa02,1,9,4,0.444,43,10.8,4.8,0,19.4,7.2,29,14,2,0,0,0,0,2,3,0.6
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Sean Murphy-Bunting,BuntSe00,0,7,4,0.571,49,12.3,7,1,118.5,7.6,14,35,0,0,0,0,0,2,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Jason Pierre-Paul,PierJa99,0,4,4,1,18,4.5,4.5,0,85.4,-0.8,-3,21,3,0,0,0,0,6,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Antoine Winfield Jr.,WinfAn00,0,3,2,0.667,41,20.5,13.7,0,109.7,20.3,36,5,0,0,0,0,0,8,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Shaquil Barrett,BarrSh00,0,1,1,1,16,16,16,0,118.7,-3,-3,19,15,1,1,1,3,4,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Andrew Adams,AdamAn00,0,1,1,1,14,14,14,0,118.7,14,14,0,3,0,1,0,1,3,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Mike Edwards,EdwaMi01,0,1,1,1,5,5,5,0,87.5,1,1,4,6,0,0,0,0,4,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Rakeem Nunez-Roches,NuneRa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Ndamukong Suh,SuhxNd99,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Vita Vea,VeaxVi00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Joe Tryon-Shoyinka,TryoJo00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,1,2,1,0.333
2021_01_DAL_TB,202109090tam,2021,1,REG,TB,DAL,Bradley Pinion,PiniBr00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Anthony Brown,BrowAn02,0,9,8,0.889,127,15.9,14.1,1,155.8,14.3,94,33,0,0,0,0,0,11,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Jourdan Lewis,LewiJo01,1,11,6,0.545,74,12.3,6.7,1,68,11.9,31,43,0,0,0,0,0,2,1,0.333
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Micah Parsons,ParsMi00,0,7,5,0.714,44,8.8,6.3,0,87.8,6.7,24,20,7,0,1,0,1,7,2,0.222
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Jayron Kearse,KearJa00,0,4,4,1,33,8.3,8.3,1,140.6,2.5,10,23,1,0,0,0,0,10,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Keanu Neal,NealKe01,0,2,2,1,29,14.5,14.5,0,118.7,11.5,23,6,0,0,0,0,0,6,2,0.25
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Jaylon Smith,SmitJa05,0,2,2,1,6,3,3,0,79.2,1.5,3,3,2,0,0,0,0,4,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Dorance Armstrong Jr.,ArmsDo00,0,1,1,1,8,8,8,0,100,-5,-5,13,0,0,0,0,0,2,0,0
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Leighton Vander Esch,VandLe00,0,1,1,1,10,10,10,0,108.3,-3,-3,13,0,0,0,0,0,2,0,0
