game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Terrance Mitchell,MitcTe00,0,4,2,0.5,58,29,14.5,0,95.8,9.3,13,45,0,0,0,0,0,1,1,0.5
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Denzel Ward,WardDe02,0,4,1,0.25,47,47,11.8,0,76,18.5,32,15,2,1,1,0,2,0,2,1
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Greedy Williams,WillGr00,0,2,1,0.5,16,16,8,0,77.1,12.5,15,1,1,0,0,0,0,2,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Joe Schobert,SchoJo00,0,1,1,1,7,7,7,1,135.4,-2,-2,9,1,0,0,0,0,8,1,0.111
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,T.J. Carrie,CarrTr00,0,1,1,1,5,5,5,0,87.5,5,5,0,1,0,0,0,0,1,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Olivier Vernon,VernOl00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,3,2,2,0.5
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Myles Garrett,GarrMy00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,5,1,0.167
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Larry Ogunjobi,OgunLa00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,4,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Sheldon Richardson,RichSh00,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,1,0.2
2019_01_TEN_CLE,201909080cle,2019,1,REG,CLE,TEN,Jermaine Whitehead,WhitJe02,0,1,0,0,NA,NA,0,NA,39.6,-2,NA,NA,0,0,0,0,0,1,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Malcolm Butler,ButlMa01,1,10,7,0.7,51,7.3,5.1,0,42.1,7.9,37,14,1,0,0,0,0,2,2,0.5
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Logan Ryan,RyanLo00,1,9,6,0.667,76,12.7,8.4,0,53.2,9.7,45,31,4,0,0,1.5,2,8,0,0
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Rashaan Evans,EvanRa01,0,4,4,1,80,20,20,0,118.7,14.3,57,23,1,0,0,0,0,6,5,0.455
2019_01_TEN_CLE,201909080cle,2019,1,REG,TEN,CLE,Kenny Vaccaro,VaccKe00,0,5,4,0.8,24,6,4.8,0,86.7,4.2,16,8,0,0,0,0,0,7,1,0.125
